epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,470.901,2.29293,5.17995,0.00283,0.27822,0.04171,0.01207,0.00372,1.91518,3.67783,0.00252,5.29413e-05,5.29413e-05,5.29413e-05
2,635.842,1.96666,3.47446,0.00214,0.14689,0.05634,0.01743,0.00565,1.83837,3.16882,0.00237,0.00010463,0.00010463,0.00010463
3,799.892,1.92129,3.20767,0.00202,0.10892,0.05808,0.01836,0.00579,1.80809,3.07559,0.00232,0.000155008,0.000155008,0.000155008
4,961.495,1.89279,3.09091,0.00201,0.0763,0.06631,0.02449,0.00788,1.79596,2.95239,0.00229,0.000153097,0.000153097,0.000153097
5,1124.54,1.88622,3.00125,0.00198,0.11923,0.06202,0.02294,0.00771,1.78497,2.96591,0.00228,0.000151129,0.000151129,0.000151129
6,1286.6,1.88244,2.95229,0.00195,0.24047,0.0784,0.03063,0.00964,1.7791,2.8635,0.00225,0.000149162,0.000149162,0.000149162
7,1450.55,1.86979,2.89766,0.00189,0.06618,0.08647,0.02869,0.00946,1.78173,2.89417,0.00226,0.000147194,0.000147194,0.000147194
8,1613.26,1.85792,2.85782,0.00193,0.15291,0.09151,0.03359,0.01148,1.77052,2.84844,0.00224,0.000145227,0.000145227,0.000145227
9,1775.41,1.85107,2.85337,0.00196,0.08127,0.10171,0.03151,0.01044,1.76264,2.79586,0.00224,0.000143259,0.000143259,0.000143259
10,1950.27,1.86741,2.8231,0.00192,0.25856,0.08954,0.03631,0.01257,1.75781,2.81755,0.00223,0.000141291,0.000141291,0.000141291
11,2113.83,1.84601,2.76688,0.00185,0.09857,0.09477,0.03416,0.01179,1.75864,2.79813,0.00223,0.000139324,0.000139324,0.000139324
12,2314.31,1.83982,2.76131,0.00186,0.30222,0.09944,0.03727,0.01264,1.75686,2.75172,0.00222,0.000137356,0.000137356,0.000137356
13,2478.19,1.83616,2.75769,0.00188,0.06223,0.10846,0.03503,0.01207,1.756,2.79539,0.00223,0.000135388,0.000135388,0.000135388
14,2641.95,1.83189,2.72745,0.0019,0.291,0.09552,0.04044,0.01371,1.75244,2.76574,0.00221,0.000133421,0.000133421,0.000133421
15,2955.4,1.84247,2.73219,0.00187,0.25838,0.10403,0.04122,0.01396,1.74814,2.74421,0.00221,0.000131453,0.000131453,0.000131453
16,3119.53,1.83368,2.7261,0.00189,0.12383,0.1109,0.03942,0.01384,1.74809,2.75165,0.0022,0.000129486,0.000129486,0.000129486
17,3281.86,1.82889,2.68749,0.00186,0.24318,0.10661,0.04229,0.0145,1.74963,2.71778,0.0022,0.000127518,0.000127518,0.000127518
18,3445.55,1.83142,2.71381,0.00189,0.16308,0.11052,0.03778,0.01242,1.75063,2.74797,0.00221,0.00012555,0.00012555,0.00012555
19,3607.55,1.82461,2.66904,0.00185,0.14855,0.11644,0.0398,0.0134,1.74238,2.71661,0.0022,0.000123583,0.000123583,0.000123583
20,3769.64,1.81048,2.65735,0.00186,0.1267,0.12055,0.04245,0.01494,1.74616,2.74388,0.00221,0.000121615,0.000121615,0.000121615
21,3931.88,1.80293,2.65107,0.00188,0.10043,0.1175,0.03896,0.01322,1.75842,2.77229,0.00225,0.000119647,0.000119647,0.000119647
22,4096.19,1.83265,2.65791,0.00185,0.17193,0.11248,0.04306,0.01442,1.7417,2.72556,0.00219,0.00011768,0.00011768,0.00011768
23,4258.15,1.81329,2.6338,0.00186,0.18984,0.11555,0.04522,0.0155,1.74687,2.77472,0.00221,0.000115712,0.000115712,0.000115712
24,4420.7,1.82161,2.60397,0.00183,0.07952,0.12167,0.04116,0.01456,1.7463,2.7617,0.0022,0.000113745,0.000113745,0.000113745
25,4581.7,1.8006,2.6124,0.00186,0.11625,0.12581,0.04404,0.01499,1.7472,2.71629,0.00221,0.000111777,0.000111777,0.000111777
26,4743.99,1.80292,2.60321,0.00184,0.16315,0.11598,0.04328,0.01498,1.74321,2.72305,0.0022,0.000109809,0.000109809,0.000109809
27,4908.42,1.81725,2.61215,0.00183,0.11892,0.12488,0.04676,0.01596,1.74841,2.69575,0.00219,0.000107842,0.000107842,0.000107842
28,5070.87,1.81075,2.60416,0.00187,0.16166,0.12323,0.043,0.01449,1.74574,2.71878,0.00222,0.000105874,0.000105874,0.000105874
29,5234.34,1.80227,2.58119,0.00183,0.11129,0.13912,0.04945,0.01762,1.74798,2.71754,0.00221,0.000103906,0.000103906,0.000103906
30,5396.77,1.79718,2.57071,0.00184,0.18218,0.11802,0.04279,0.01508,1.74982,2.71877,0.00223,0.000101939,0.000101939,0.000101939
31,5601.56,1.80839,2.55471,0.00181,0.14527,0.12435,0.04529,0.01563,1.7349,2.69814,0.00219,9.99712e-05,9.99712e-05,9.99712e-05
32,5768.03,1.78538,2.56947,0.00186,0.14751,0.1241,0.05046,0.01743,1.7382,2.72576,0.00219,9.80036e-05,9.80036e-05,9.80036e-05
33,5930.18,1.79245,2.55114,0.00184,0.14477,0.13085,0.04893,0.01655,1.73713,2.73631,0.00219,9.6036e-05,9.6036e-05,9.6036e-05
34,6094.15,1.78899,2.55057,0.00183,0.17785,0.12088,0.04577,0.01606,1.74824,2.72631,0.0022,9.40684e-05,9.40684e-05,9.40684e-05
35,6259.52,1.80245,2.5357,0.00179,0.13803,0.1206,0.04553,0.01583,1.74268,2.70983,0.00221,9.21007e-05,9.21007e-05,9.21007e-05
36,6423.58,1.80291,2.53701,0.00179,0.16026,0.12993,0.04622,0.01647,1.74127,2.69116,0.0022,9.01331e-05,9.01331e-05,9.01331e-05
37,6587.78,1.78758,2.54366,0.00184,0.13243,0.11587,0.04605,0.01609,1.75053,2.70939,0.00223,8.81655e-05,8.81655e-05,8.81655e-05
38,6806.99,1.77952,2.50961,0.00184,0.20008,0.11632,0.04887,0.0167,1.74385,2.6928,0.00221,8.61979e-05,8.61979e-05,8.61979e-05
39,6970.02,1.79051,2.51208,0.00183,0.17236,0.12762,0.04733,0.01654,1.74413,2.71831,0.00221,8.42303e-05,8.42303e-05,8.42303e-05
40,7133.17,1.78054,2.50724,0.00182,0.20353,0.11875,0.04375,0.01448,1.74555,2.74089,0.00222,8.22626e-05,8.22626e-05,8.22626e-05
41,7297.6,1.7874,2.52394,0.00181,0.21584,0.1195,0.04642,0.01627,1.73885,2.70573,0.00221,8.0295e-05,8.0295e-05,8.0295e-05
42,7459.76,1.77781,2.47361,0.00177,0.16393,0.11555,0.04805,0.01658,1.7335,2.72032,0.0022,7.83274e-05,7.83274e-05,7.83274e-05
43,7621.78,1.77594,2.48128,0.00179,0.19204,0.11845,0.04591,0.01528,1.73875,2.71272,0.00219,7.63597e-05,7.63597e-05,7.63597e-05
44,7786.45,1.77784,2.47698,0.0018,0.17161,0.12839,0.04349,0.01444,1.74846,2.70988,0.00222,7.43921e-05,7.43921e-05,7.43921e-05
45,8386.03,1.77094,2.45954,0.00177,0.15857,0.11804,0.04413,0.01498,1.74373,2.72559,0.00222,7.24245e-05,7.24245e-05,7.24245e-05
46,8548.4,1.77391,2.48056,0.0018,0.18951,0.12045,0.04747,0.01622,1.74164,2.7563,0.00221,7.04569e-05,7.04569e-05,7.04569e-05
47,8712.27,1.76892,2.4628,0.00176,0.20028,0.12043,0.04637,0.01561,1.7436,2.72,0.00222,6.84893e-05,6.84893e-05,6.84893e-05
48,8874.43,1.77305,2.45865,0.00181,0.1711,0.11713,0.04557,0.01559,1.74115,2.71408,0.0022,6.65216e-05,6.65216e-05,6.65216e-05
49,9036.65,1.76966,2.45561,0.0018,0.16745,0.11827,0.04559,0.01535,1.74966,2.742,0.00222,6.4554e-05,6.4554e-05,6.4554e-05
50,9198.94,1.77159,2.42777,0.00179,0.18323,0.12199,0.04542,0.01551,1.73912,2.72956,0.00221,6.25864e-05,6.25864e-05,6.25864e-05
51,9373.52,1.76218,2.43952,0.00181,0.16428,0.12973,0.04684,0.01622,1.74484,2.7059,0.00221,6.06187e-05,6.06187e-05,6.06187e-05
52,9536.92,1.77156,2.44321,0.00182,0.1987,0.11952,0.04426,0.01521,1.74265,2.72423,0.00221,5.86511e-05,5.86511e-05,5.86511e-05
53,9700.69,1.76819,2.43416,0.00178,0.16088,0.1259,0.04622,0.01551,1.74475,2.70844,0.00221,5.66835e-05,5.66835e-05,5.66835e-05
54,9862.94,1.76148,2.42351,0.00177,0.1709,0.11491,0.04727,0.01578,1.7485,2.71753,0.00222,5.47159e-05,5.47159e-05,5.47159e-05
55,10027.1,1.77143,2.41488,0.00177,0.17161,0.12013,0.0484,0.0163,1.74989,2.74644,0.00223,5.27482e-05,5.27482e-05,5.27482e-05
56,10189.8,1.75631,2.39498,0.00176,0.20332,0.12155,0.04717,0.01588,1.74947,2.74528,0.00222,5.07806e-05,5.07806e-05,5.07806e-05
57,10352.5,1.76941,2.40903,0.00178,0.16787,0.12412,0.04728,0.016,1.74818,2.73456,0.00221,4.8813e-05,4.8813e-05,4.8813e-05
58,10514.6,1.76202,2.39349,0.00177,0.21188,0.11839,0.04827,0.01664,1.74301,2.72347,0.00221,4.68454e-05,4.68454e-05,4.68454e-05
59,10677.6,1.75913,2.4087,0.00179,0.19026,0.12933,0.04663,0.01576,1.74492,2.72315,0.00222,4.48777e-05,4.48777e-05,4.48777e-05
60,10843,1.74862,2.40318,0.00177,0.20168,0.1179,0.04782,0.01649,1.74777,2.73405,0.00222,4.29101e-05,4.29101e-05,4.29101e-05
61,11005.7,1.74596,2.38589,0.00178,0.23729,0.12465,0.04702,0.01578,1.7441,2.72567,0.00221,4.09425e-05,4.09425e-05,4.09425e-05
62,11169.1,1.75842,2.38612,0.00176,0.18918,0.1248,0.04695,0.01603,1.74816,2.74231,0.00222,3.89749e-05,3.89749e-05,3.89749e-05
63,11331.9,1.75143,2.37813,0.00176,0.19399,0.12302,0.04778,0.01605,1.74358,2.73727,0.00221,3.70072e-05,3.70072e-05,3.70072e-05
64,11496.1,1.75183,2.35909,0.00175,0.16741,0.1177,0.04721,0.01664,1.74665,2.73146,0.00221,3.50396e-05,3.50396e-05,3.50396e-05
65,11658.8,1.75645,2.35451,0.00172,0.18529,0.1276,0.04674,0.01562,1.7459,2.74072,0.00222,3.3072e-05,3.3072e-05,3.3072e-05
66,11821.2,1.74953,2.35816,0.00172,0.21683,0.11836,0.04803,0.01613,1.7488,2.73971,0.00222,3.11044e-05,3.11044e-05,3.11044e-05
67,11983.3,1.75108,2.34158,0.00171,0.16361,0.11751,0.04765,0.0159,1.74527,2.7475,0.0022,2.91368e-05,2.91368e-05,2.91368e-05
68,12147.4,1.74414,2.36274,0.00177,0.16355,0.12644,0.04868,0.017,1.74696,2.73816,0.00222,2.71691e-05,2.71691e-05,2.71691e-05
69,12309.4,1.75107,2.35463,0.00173,0.15984,0.12351,0.04739,0.01636,1.74794,2.75389,0.00222,2.52015e-05,2.52015e-05,2.52015e-05
70,12471.5,1.73511,2.34217,0.00173,0.18872,0.12186,0.04554,0.01543,1.75141,2.73982,0.00223,2.32339e-05,2.32339e-05,2.32339e-05
71,12624.3,1.68355,2.28618,0.00181,0.16052,0.11813,0.04478,0.01533,1.74728,2.75654,0.00221,2.12662e-05,2.12662e-05,2.12662e-05
72,12774.9,1.67855,2.26152,0.00181,0.19015,0.12023,0.04646,0.01561,1.75367,2.76602,0.00222,1.92986e-05,1.92986e-05,1.92986e-05
73,12925,1.68117,2.27005,0.0018,0.18403,0.13654,0.04814,0.01622,1.7533,2.76281,0.00222,1.7331e-05,1.7331e-05,1.7331e-05
74,13074.8,1.6645,2.25565,0.00181,0.15829,0.12639,0.04574,0.01543,1.75634,2.76826,0.00223,1.53634e-05,1.53634e-05,1.53634e-05
75,13224.9,1.6783,2.23987,0.00179,0.18458,0.12189,0.04575,0.01541,1.75616,2.75696,0.00223,1.33957e-05,1.33957e-05,1.33957e-05
76,13374.9,1.67393,2.24755,0.00179,0.15818,0.12129,0.04566,0.01546,1.7537,2.76709,0.00223,1.14281e-05,1.14281e-05,1.14281e-05
77,13524.6,1.67275,2.23343,0.00179,0.18398,0.12651,0.04561,0.01563,1.75323,2.76629,0.00223,9.4605e-06,9.4605e-06,9.4605e-06
78,13674.7,1.6732,2.2268,0.00181,0.20277,0.12524,0.04466,0.0151,1.75522,2.7685,0.00223,7.49287e-06,7.49287e-06,7.49287e-06
