epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8129,3.28207,3.8804,1.47015,0.12122,0.03457,0.01266,0.00369,3.2267,2.91695,1.09884,5.25268e-05,5.25268e-05,5.25268e-05
2,54.6948,3.04429,2.5065,1.11097,0.24812,0.05381,0.02289,0.00693,3.11039,2.4319,1.07426,0.000104482,0.000104482,0.000104482
3,72.8928,3.00208,2.36834,1.08121,0.05764,0.08176,0.02229,0.00681,3.09953,2.3556,1.05559,0.000155388,0.000155388,0.000155388
4,90.8103,2.96704,2.30016,1.06511,0.29146,0.07332,0.02807,0.00853,3.03991,2.32786,1.05333,0.000154278,0.000154278,0.000154278
5,108.756,2.93913,2.2419,1.05049,0.1407,0.10088,0.02894,0.00915,3.03984,2.3018,1.09033,0.000152704,0.000152704,0.000152704
6,126.758,2.91151,2.19252,1.03856,0.25255,0.08462,0.03218,0.00988,3.00761,2.27525,1.04044,0.000151129,0.000151129,0.000151129
7,145.134,2.90681,2.16398,1.03268,0.13993,0.0897,0.03524,0.01066,3.03431,2.2674,1.0226,0.000149555,0.000149555,0.000149555
8,163.359,2.90861,2.15075,1.02487,0.14998,0.0855,0.03259,0.01011,3.01315,2.27016,1.03393,0.000147981,0.000147981,0.000147981
9,181.15,2.86746,2.1017,1.01483,0.10689,0.10815,0.03254,0.00988,3.01224,2.31935,1.02775,0.000146407,0.000146407,0.000146407
10,198.917,2.84974,2.10408,1.01664,0.17994,0.10082,0.04118,0.01374,2.97759,2.23959,1.03756,0.000144833,0.000144833,0.000144833
11,216.756,2.86633,2.0963,1.01077,0.16748,0.102,0.04176,0.01391,3.00072,2.20975,1.03788,0.000143259,0.000143259,0.000143259
12,234.889,2.84778,2.07514,1.01174,0.13988,0.10022,0.03923,0.01188,2.99879,2.3103,1.04413,0.000141685,0.000141685,0.000141685
13,252.813,2.80285,2.05761,1.01547,0.1475,0.10253,0.03684,0.01111,2.98848,2.23291,1.00669,0.000140111,0.000140111,0.000140111
14,270.63,2.82906,2.01479,1.0015,0.17248,0.09873,0.04254,0.01284,2.98041,2.24562,1.0211,0.000138537,0.000138537,0.000138537
15,288.192,2.79355,2.02301,1.00081,0.21644,0.09867,0.0399,0.0128,2.96577,2.19938,1.02229,0.000136963,0.000136963,0.000136963
16,305.958,2.78826,1.98286,0.99395,0.13503,0.10335,0.0395,0.01228,2.99633,2.21566,1.01849,0.000135388,0.000135388,0.000135388
17,323.841,2.7998,1.96198,0.9853,0.20027,0.09903,0.03666,0.01153,2.96814,2.22829,1.01259,0.000133814,0.000133814,0.000133814
18,341.374,2.79249,1.97322,0.98921,0.13809,0.09802,0.03719,0.0115,3.00182,2.25048,0.99198,0.00013224,0.00013224,0.00013224
