epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.013,2.66226,3.701,1.51351,0.06673,0.06785,0.02065,0.00645,2.43574,2.64625,1.37158,5.29406e-05,5.29406e-05,5.29406e-05
2,267.64,2.4328,2.81628,1.31081,0.23686,0.07736,0.02625,0.0085,2.37406,2.54804,1.34833,0.000104892,0.000104892,0.000104892
3,396.015,2.38196,2.70254,1.30334,0.17116,0.08196,0.02943,0.00927,2.35864,2.46088,1.3066,0.000155794,0.000155794,0.000155794
4,523.622,2.35415,2.59698,1.29033,0.0993,0.10462,0.03397,0.01154,2.33141,2.4387,1.30584,0.000154278,0.000154278,0.000154278
5,651.129,2.33104,2.5295,1.27717,0.07403,0.10981,0.03754,0.01308,2.31017,2.45277,1.29704,0.000152704,0.000152704,0.000152704
6,782.874,2.33393,2.50762,1.26323,0.2578,0.09964,0.03865,0.01289,2.30048,2.38804,1.29989,0.000151129,0.000151129,0.000151129
7,910.86,2.31745,2.47136,1.25949,0.13063,0.12097,0.04317,0.01558,2.30849,2.3677,1.30578,0.000149555,0.000149555,0.000149555
8,1040.06,2.30289,2.42279,1.25781,0.17663,0.11232,0.04093,0.01464,2.3013,2.3729,1.30719,0.000147981,0.000147981,0.000147981
9,1166.72,2.30611,2.40818,1.2475,0.16476,0.13838,0.04564,0.01511,2.29395,2.35285,1.28383,0.000146407,0.000146407,0.000146407
10,1294.34,2.30302,2.42036,1.25736,0.22063,0.1201,0.04462,0.01573,2.28705,2.36993,1.28776,0.000144833,0.000144833,0.000144833
11,1425.43,2.28962,2.40126,1.25123,0.11681,0.12052,0.04393,0.01458,2.27708,2.32397,1.26739,0.000143259,0.000143259,0.000143259
12,1555.08,2.2712,2.37362,1.24412,0.08701,0.14779,0.04601,0.01536,2.29192,2.33688,1.2892,0.000141685,0.000141685,0.000141685
13,1683.55,2.27683,2.35427,1.24558,0.15029,0.13435,0.04682,0.01588,2.30162,2.35269,1.28931,0.000140111,0.000140111,0.000140111
14,1813.41,2.27099,2.31173,1.23533,0.13658,0.12726,0.0516,0.01873,2.29467,2.33761,1.28498,0.000138537,0.000138537,0.000138537
15,1940.78,2.26722,2.32659,1.24238,0.15861,0.15556,0.05355,0.01834,2.28237,2.34826,1.2887,0.000136963,0.000136963,0.000136963
16,2068.24,2.26656,2.31068,1.22866,0.20031,0.12359,0.05169,0.01848,2.2789,2.34263,1.28653,0.000135388,0.000135388,0.000135388
17,2198.37,2.24506,2.27769,1.22569,0.14561,0.12421,0.04767,0.01584,2.28519,2.34401,1.27722,0.000133814,0.000133814,0.000133814
18,2325.46,2.25895,2.28637,1.22759,0.20323,0.12411,0.0457,0.01632,2.27632,2.33316,1.27638,0.00013224,0.00013224,0.00013224
19,2455.16,2.24561,2.29689,1.24005,0.1195,0.13875,0.04682,0.01604,2.27011,2.35728,1.2664,0.000130666,0.000130666,0.000130666
20,2584,2.24666,2.27678,1.2311,0.14519,0.13657,0.04833,0.0166,2.29041,2.34935,1.27288,0.000129092,0.000129092,0.000129092
21,2711.77,2.24477,2.25751,1.22197,0.20221,0.13316,0.05296,0.01843,2.27223,2.34253,1.27302,0.000127518,0.000127518,0.000127518
22,2847.86,2.21656,2.25079,1.22346,0.15729,0.13055,0.05335,0.01932,2.27884,2.35772,1.28108,0.000125944,0.000125944,0.000125944
23,2975.82,2.22481,2.20991,1.21292,0.10925,0.13337,0.05082,0.0186,2.27597,2.3549,1.27241,0.00012437,0.00012437,0.00012437
24,3102.47,2.22265,2.22615,1.21636,0.12417,0.12848,0.04833,0.01778,2.28945,2.3609,1.29992,0.000122796,0.000122796,0.000122796
25,3229.61,2.23079,2.22926,1.2109,0.16992,0.14289,0.0486,0.01728,2.26856,2.33384,1.27051,0.000121222,0.000121222,0.000121222
26,3361.55,2.21334,2.19778,1.21649,0.18168,0.12852,0.05218,0.01971,2.2814,2.37432,1.26922,0.000119647,0.000119647,0.000119647
27,3491.19,2.21037,2.18139,1.20905,0.17053,0.14784,0.05372,0.01925,2.28969,2.35417,1.27493,0.000118073,0.000118073,0.000118073
28,3619.23,2.21477,2.17895,1.21089,0.22234,0.13048,0.05473,0.01894,2.27308,2.35081,1.27412,0.000116499,0.000116499,0.000116499
29,3746.69,2.20199,2.17508,1.20993,0.17162,0.13887,0.0536,0.01906,2.28002,2.33616,1.27698,0.000114925,0.000114925,0.000114925
30,3876.85,2.20375,2.16513,1.2114,0.1581,0.14049,0.05306,0.01885,2.27931,2.34596,1.28185,0.000113351,0.000113351,0.000113351
31,4004.07,2.20462,2.1545,1.1994,0.17834,0.14398,0.05411,0.01852,2.27117,2.37013,1.27069,0.000111777,0.000111777,0.000111777
32,4131.35,2.1945,2.13868,1.20386,0.15219,0.13191,0.05192,0.01761,2.28029,2.38015,1.28294,0.000110203,0.000110203,0.000110203
33,4259.76,2.18794,2.12323,1.20067,0.15911,0.14065,0.05392,0.01871,2.27874,2.37525,1.26783,0.000108629,0.000108629,0.000108629
34,4386.68,2.19016,2.10066,1.19699,0.15995,0.13114,0.05396,0.02005,2.29613,2.36064,1.27867,0.000107055,0.000107055,0.000107055
35,4514.6,2.19499,2.11011,1.19467,0.20513,0.13592,0.05906,0.02167,2.27264,2.33776,1.26876,0.000105481,0.000105481,0.000105481
36,4642.87,2.1932,2.11483,1.20117,0.1887,0.13471,0.05655,0.01988,2.27463,2.35024,1.27127,0.000103906,0.000103906,0.000103906
37,4770.54,2.16811,2.07739,1.18813,0.18641,0.14056,0.05592,0.01925,2.28669,2.3488,1.27517,0.000102332,0.000102332,0.000102332
38,4898.83,2.17022,2.08106,1.19581,0.16139,0.13338,0.05761,0.02142,2.27246,2.35435,1.26716,0.000100758,0.000100758,0.000100758
39,5028.62,2.16942,2.05914,1.18768,0.21934,0.13491,0.06001,0.02113,2.28552,2.3347,1.27877,9.91842e-05,9.91842e-05,9.91842e-05
40,5156.07,2.16776,2.04509,1.19059,0.18453,0.12515,0.05514,0.01869,2.29083,2.3596,1.27224,9.76101e-05,9.76101e-05,9.76101e-05
41,5282.72,2.15576,2.01724,1.1793,0.21064,0.12969,0.05436,0.01933,2.28602,2.33693,1.27786,9.6036e-05,9.6036e-05,9.6036e-05
42,5410.48,2.16487,2.01604,1.177,0.1347,0.13069,0.05568,0.0194,2.28481,2.38588,1.27854,9.44619e-05,9.44619e-05,9.44619e-05
43,5537.12,2.14596,2.00105,1.18117,0.15665,0.12751,0.05751,0.01985,2.2914,2.35105,1.28079,9.28878e-05,9.28878e-05,9.28878e-05
44,5663.83,2.14772,2.01542,1.18438,0.16079,0.12913,0.05302,0.01797,2.28628,2.37533,1.27538,9.13137e-05,9.13137e-05,9.13137e-05
