epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.249,2.66038,3.73416,1.50554,0.08247,0.06252,0.01786,0.00576,2.45217,2.67158,1.34677,5.29413e-05,5.29413e-05,5.29413e-05
2,324.373,2.44137,2.8252,1.31596,0.10351,0.08297,0.02764,0.00904,2.39453,2.57808,1.31684,0.000105242,0.000105242,0.000105242
3,454.988,2.38733,2.68771,1.31055,0.23986,0.07648,0.03047,0.01015,2.35551,2.48634,1.31307,0.000156843,0.000156843,0.000156843
4,581.615,2.36912,2.61309,1.28361,0.14231,0.08883,0.0319,0.01042,2.35888,2.58064,1.30241,0.000155852,0.000155852,0.000155852
5,708.148,2.34161,2.56405,1.2724,0.25967,0.08759,0.03228,0.01038,2.32942,2.49892,1.30019,0.000154802,0.000154802,0.000154802
6,835.725,2.33874,2.50956,1.26548,0.1398,0.10956,0.04136,0.01303,2.34027,2.46178,1.29931,0.000153753,0.000153753,0.000153753
7,969.203,2.33382,2.47913,1.26454,0.20007,0.10431,0.03991,0.01294,2.31525,2.41175,1.29604,0.000152704,0.000152704,0.000152704
8,1173.93,2.32108,2.45,1.25734,0.22481,0.10347,0.04312,0.01461,2.30195,2.42877,1.29535,0.000151654,0.000151654,0.000151654
9,1303.64,2.31912,2.42956,1.25164,0.19492,0.10285,0.04399,0.01478,2.31873,2.42232,1.30597,0.000150605,0.000150605,0.000150605
10,1433.89,2.31707,2.43181,1.24853,0.27066,0.11217,0.04356,0.01471,2.3335,2.38846,1.28444,0.000149555,0.000149555,0.000149555
11,1565.59,2.29711,2.40967,1.24809,0.20667,0.10374,0.04104,0.01418,2.30443,2.38702,1.27785,0.000148506,0.000148506,0.000148506
12,1697.45,2.29078,2.37482,1.25125,0.16673,0.11703,0.04096,0.01393,2.29795,2.37982,1.27086,0.000147457,0.000147457,0.000147457
13,1826.42,2.28543,2.36379,1.23819,0.15914,0.11651,0.04351,0.01462,2.30252,2.3589,1.27237,0.000146407,0.000146407,0.000146407
14,1956.03,2.28265,2.36331,1.24229,0.13196,0.12916,0.04625,0.01505,2.28858,2.39733,1.2865,0.000145358,0.000145358,0.000145358
15,2084.02,2.27622,2.35017,1.24312,0.19351,0.10897,0.04607,0.01573,2.30383,2.38698,1.30208,0.000144308,0.000144308,0.000144308
16,2213.31,2.27847,2.31982,1.22833,0.13193,0.12454,0.04413,0.01534,2.28979,2.40687,1.28855,0.000143259,0.000143259,0.000143259
17,2343.21,2.26985,2.31261,1.23129,0.14335,0.12376,0.04646,0.01562,2.28801,2.38306,1.27463,0.00014221,0.00014221,0.00014221
18,2474.17,2.26548,2.29947,1.23144,0.16388,0.12651,0.04693,0.01608,2.28307,2.37578,1.27467,0.00014116,0.00014116,0.00014116
19,2603.24,2.25352,2.30474,1.23744,0.17444,0.12217,0.04564,0.01561,2.28913,2.34532,1.27665,0.000140111,0.000140111,0.000140111
20,2734.44,2.25388,2.28455,1.22578,0.13371,0.12054,0.0448,0.01558,2.2794,2.40116,1.27175,0.000139061,0.000139061,0.000139061
21,2864.74,2.25988,2.26077,1.21775,0.18864,0.12321,0.04886,0.01642,2.29019,2.36416,1.27015,0.000138012,0.000138012,0.000138012
22,2994.79,2.24678,2.27114,1.2295,0.16946,0.12288,0.04639,0.01545,2.29837,2.42197,1.28119,0.000136963,0.000136963,0.000136963
23,3125.93,2.24218,2.25068,1.21641,0.12373,0.13761,0.04926,0.01741,2.29392,2.3893,1.28338,0.000135913,0.000135913,0.000135913
24,3256.22,2.24032,2.22341,1.22121,0.19963,0.11979,0.05027,0.01742,2.28944,2.36616,1.27436,0.000134864,0.000134864,0.000134864
25,3387.27,2.2419,2.2252,1.21471,0.18976,0.12529,0.05056,0.01756,2.29226,2.38161,1.28141,0.000133814,0.000133814,0.000133814
26,3515.73,2.23071,2.22364,1.21877,0.13751,0.13326,0.05154,0.01703,2.29281,2.39124,1.27955,0.000132765,0.000132765,0.000132765
27,3647.34,2.23853,2.21546,1.21042,0.11376,0.13106,0.04636,0.01575,2.29134,2.36655,1.26963,0.000131716,0.000131716,0.000131716
28,3782.34,2.23164,2.20092,1.207,0.14519,0.13069,0.04933,0.01648,2.3003,2.37777,1.28043,0.000130666,0.000130666,0.000130666
29,3912.83,2.22071,2.19179,1.20743,0.16382,0.1261,0.04756,0.01631,2.28728,2.36234,1.26872,0.000129617,0.000129617,0.000129617
30,4045.93,2.21545,2.18075,1.21237,0.16724,0.13516,0.05173,0.01698,2.29933,2.37422,1.27568,0.000128567,0.000128567,0.000128567
