epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.783,2.1544,2.05651,1.18968,0.18749,0.1331,0.05617,0.01943,2.29291,2.35267,1.28586,5.29406e-05,5.29406e-05,5.29406e-05
2,262.428,2.18604,2.09512,1.19389,0.14741,0.14581,0.05213,0.0181,2.29882,2.35307,1.2832,0.000105591,0.000105591,0.000105591
3,387.078,2.17355,2.10217,1.19964,0.22579,0.1112,0.0472,0.01612,2.29172,2.39737,1.26736,0.000157892,0.000157892,0.000157892
4,511.331,2.18099,2.10152,1.20492,0.20084,0.12935,0.05245,0.01823,2.29262,2.34023,1.28462,0.000157426,0.000157426,0.000157426
5,635.416,2.16697,2.07275,1.19671,0.20874,0.13887,0.05551,0.01926,2.28894,2.36555,1.29044,0.000156901,0.000156901,0.000156901
6,760.533,2.18156,2.07676,1.19299,0.16129,0.13216,0.04952,0.01748,2.29943,2.37371,1.26997,0.000156376,0.000156376,0.000156376
7,884.833,2.17981,2.06796,1.19038,0.14835,0.13832,0.0551,0.01983,2.30013,2.4006,1.2955,0.000155852,0.000155852,0.000155852
8,1009.54,2.16043,2.05238,1.18749,0.18495,0.13178,0.05308,0.01904,2.29823,2.39268,1.2912,0.000155327,0.000155327,0.000155327
9,1133.94,2.17053,2.04909,1.18739,0.14605,0.13885,0.05681,0.01968,2.30446,2.38413,1.27926,0.000154802,0.000154802,0.000154802
10,1259.25,2.17031,2.05144,1.19414,0.21564,0.13083,0.05531,0.01893,2.29864,2.37162,1.28739,0.000154278,0.000154278,0.000154278
11,1383.47,2.1616,2.05023,1.19108,0.13474,0.13366,0.05599,0.01991,2.2963,2.35946,1.28398,0.000153753,0.000153753,0.000153753
12,1508.85,2.14894,2.02639,1.18849,0.16354,0.1365,0.05491,0.01904,2.29712,2.3703,1.274,0.000153228,0.000153228,0.000153228
13,1634.65,2.15533,2.01479,1.18861,0.15722,0.13575,0.05254,0.01808,2.31328,2.36369,1.29006,0.000152704,0.000152704,0.000152704
14,1758.88,2.15063,1.99233,1.17965,0.20362,0.13219,0.06208,0.02242,2.30878,2.35169,1.28459,0.000152179,0.000152179,0.000152179
15,1883.11,2.14879,2.01123,1.1867,0.17254,0.13931,0.05619,0.0208,2.30586,2.37966,1.29137,0.000151654,0.000151654,0.000151654
16,2007.02,2.15121,1.98334,1.17746,0.22095,0.12059,0.05225,0.01777,2.30479,2.3729,1.29385,0.000151129,0.000151129,0.000151129
17,2131.47,2.12597,1.95497,1.17363,0.13693,0.12486,0.04942,0.01671,2.31213,2.40445,1.29004,0.000150605,0.000150605,0.000150605
18,2256.01,2.14183,1.96776,1.17496,0.20576,0.12818,0.05441,0.01898,2.30683,2.37731,1.28504,0.00015008,0.00015008,0.00015008
19,2379.63,2.12779,1.96737,1.18667,0.18047,0.12317,0.05227,0.01749,2.32398,2.4159,1.2886,0.000149555,0.000149555,0.000149555
20,2503.84,2.13359,1.95944,1.17859,0.17265,0.1251,0.05407,0.01857,2.33378,2.39859,1.27981,0.000149031,0.000149031,0.000149031
21,2628.39,2.13098,1.93807,1.1711,0.17415,0.13097,0.05492,0.0189,2.32098,2.39274,1.29664,0.000148506,0.000148506,0.000148506
22,2753.98,2.10816,1.94343,1.17501,0.17537,0.12082,0.05291,0.01777,2.34185,2.38374,1.31277,0.000147981,0.000147981,0.000147981
23,2881.26,2.11867,1.9148,1.16958,0.12532,0.12621,0.05157,0.01765,2.31936,2.38201,1.28633,0.000147457,0.000147457,0.000147457
24,3005.38,2.11734,1.91685,1.17105,0.15022,0.13283,0.05693,0.01979,2.31201,2.40369,1.28848,0.000146932,0.000146932,0.000146932
25,3129.72,2.11525,1.91563,1.16282,0.22003,0.13121,0.04931,0.01604,2.32886,2.41477,1.28654,0.000146407,0.000146407,0.000146407
26,3253.24,2.09807,1.8819,1.16709,0.12938,0.12854,0.0509,0.01779,2.33973,2.4305,1.293,0.000145882,0.000145882,0.000145882
27,3378.05,2.09639,1.87758,1.16105,0.15972,0.1187,0.04894,0.01588,2.35017,2.43434,1.28757,0.000145358,0.000145358,0.000145358
28,3503.29,2.10036,1.88362,1.16331,0.1593,0.12291,0.05283,0.01794,2.32795,2.40082,1.29116,0.000144833,0.000144833,0.000144833
29,3628.33,2.08832,1.87273,1.16246,0.1579,0.12915,0.05789,0.02017,2.33278,2.40517,1.29199,0.000144308,0.000144308,0.000144308
30,3753.11,2.09,1.86619,1.16367,0.14198,0.12886,0.04624,0.01528,2.33959,2.38525,1.30025,0.000143784,0.000143784,0.000143784
31,3877.92,2.09132,1.84372,1.15242,0.1331,0.12404,0.0496,0.01663,2.33953,2.40817,1.293,0.000143259,0.000143259,0.000143259
32,4002.76,2.08159,1.83403,1.15431,0.14585,0.1189,0.04725,0.01556,2.34162,2.40994,1.29445,0.000142734,0.000142734,0.000142734
33,4127.93,2.0755,1.81441,1.15343,0.15104,0.12686,0.04516,0.01477,2.34645,2.43336,1.2991,0.00014221,0.00014221,0.00014221
34,4252.28,2.07713,1.80012,1.14924,0.13556,0.12236,0.04792,0.01622,2.35679,2.41944,1.30538,0.000141685,0.000141685,0.000141685
35,4376.93,2.07866,1.8061,1.14683,0.14552,0.12755,0.05066,0.0173,2.33428,2.41234,1.2997,0.00014116,0.00014116,0.00014116
36,4500.99,2.08855,1.83959,1.15805,0.14975,0.11796,0.04941,0.01608,2.35031,2.41355,1.30603,0.000140635,0.000140635,0.000140635
37,4625.69,2.06938,1.80126,1.1484,0.14661,0.10981,0.04672,0.01518,2.35989,2.4438,1.30987,0.000140111,0.000140111,0.000140111
38,4750.84,2.06863,1.80409,1.15179,0.13186,0.11833,0.04641,0.01496,2.34676,2.43192,1.30407,0.000139586,0.000139586,0.000139586
39,4875.79,2.06187,1.78404,1.14369,0.14193,0.11893,0.04933,0.01573,2.36254,2.42414,1.3019,0.000139061,0.000139061,0.000139061
40,5000.49,2.06507,1.78139,1.14897,0.17053,0.1202,0.05091,0.01676,2.36038,2.4302,1.30437,0.000138537,0.000138537,0.000138537
41,5124.67,2.0617,1.76749,1.1404,0.15475,0.11939,0.0468,0.0147,2.37313,2.41569,1.30989,0.000138012,0.000138012,0.000138012
42,5248.96,2.06174,1.75907,1.13622,0.11426,0.12572,0.04786,0.01599,2.35739,2.42504,1.31146,0.000137487,0.000137487,0.000137487
43,5373.74,2.04723,1.7434,1.13969,0.13775,0.12114,0.04968,0.0162,2.36548,2.42093,1.3077,0.000136963,0.000136963,0.000136963
44,5498.29,2.0478,1.75656,1.14216,0.16616,0.11801,0.05124,0.01586,2.37307,2.45364,1.31333,0.000136438,0.000136438,0.000136438
45,5623.24,2.04573,1.75382,1.13936,0.11528,0.12483,0.04833,0.01573,2.37762,2.43059,1.31525,0.000135913,0.000135913,0.000135913
46,5748.55,2.03792,1.73887,1.13975,0.16033,0.11722,0.05193,0.0166,2.37088,2.41209,1.3207,0.000135388,0.000135388,0.000135388
