epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.85,2.79488,5.27124,0.0028,0.22871,0.03835,0.01217,0.00372,2.39856,3.68244,0.0025,5.29413e-05,5.29413e-05,5.29413e-05
2,515.73,2.41265,3.38803,0.00206,0.10698,0.05322,0.01961,0.00628,2.2856,3.18893,0.00235,0.000105242,0.000105242,0.000105242
3,679.256,2.32752,3.11953,0.00203,0.10902,0.06112,0.02196,0.00701,2.25856,3.06222,0.00231,0.000156843,0.000156843,0.000156843
4,845.398,2.309,2.99224,0.00195,0.10557,0.06579,0.02212,0.00695,2.27331,3.02191,0.0023,0.000155852,0.000155852,0.000155852
5,1009.72,2.29399,2.90623,0.00191,0.18941,0.07301,0.02567,0.0086,2.2358,2.92979,0.00227,0.000154802,0.000154802,0.000154802
6,1173.4,2.29069,2.84256,0.0019,0.17239,0.0766,0.02839,0.00911,2.22469,2.87205,0.00228,0.000153753,0.000153753,0.000153753
7,1336.09,2.2837,2.79817,0.00189,0.20025,0.07997,0.03179,0.01038,2.21147,2.8574,0.00224,0.000152704,0.000152704,0.000152704
8,1645.06,2.27478,2.75874,0.00188,0.18405,0.09122,0.03318,0.01105,2.22097,2.82111,0.00224,0.000151654,0.000151654,0.000151654
9,1808.45,2.27348,2.74168,0.00187,0.20217,0.09623,0.03584,0.01217,2.2313,2.82343,0.00227,0.000150605,0.000150605,0.000150605
10,2193.82,2.27551,2.73439,0.00185,0.18667,0.09643,0.03563,0.01235,2.20925,2.78568,0.00225,0.000149555,0.000149555,0.000149555
11,2351.12,2.24971,2.69557,0.00186,0.12083,0.10675,0.03859,0.01338,2.19777,2.77842,0.00222,0.000148506,0.000148506,0.000148506
12,2508.32,2.24593,2.67953,0.0019,0.24208,0.0962,0.03879,0.01365,2.19722,2.76574,0.00221,0.000147457,0.000147457,0.000147457
