epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2118,3.7651,5.91827,0.0083,0,0,0,0,3.65949,5.42755,0.00591,5.25268e-05,5.25268e-05,5.25268e-05
2,54.0044,3.57232,5.38587,0.00527,0.84472,0.00473,0.00265,0.00077,3.49922,4.83634,0.00527,0.000104482,0.000104482,0.000104482
3,71.8703,3.48702,4.76311,0.00473,0.53458,0.01087,0.00459,0.00138,3.45208,4.20628,0.00505,0.000155388,0.000155388,0.000155388
4,89.3393,3.42688,4.13754,0.0045,0.38099,0.01953,0.0065,0.00193,3.38914,3.66866,0.00492,0.000154278,0.000154278,0.000154278
5,106.888,3.39882,3.63224,0.00433,0.33852,0.02264,0.00778,0.00235,3.37045,3.30722,0.00472,0.000152704,0.000152704,0.000152704
6,124.367,3.35998,3.3142,0.00417,0.22864,0.02795,0.00924,0.00268,3.34859,3.04992,0.00459,0.000151129,0.000151129,0.000151129
7,141.932,3.33539,3.15783,0.00409,0.20664,0.02852,0.00987,0.00289,3.32629,2.91752,0.00451,0.000149555,0.000149555,0.000149555
8,159.837,3.32966,3.02326,0.00402,0.18645,0.02978,0.01086,0.00315,3.31259,2.81685,0.00437,0.000147981,0.000147981,0.000147981
9,177.464,3.2777,2.90531,0.00393,0.18962,0.0297,0.0124,0.00363,3.29776,2.74205,0.00431,0.000146407,0.000146407,0.000146407
10,195.187,3.26557,2.87142,0.00389,0.18989,0.03222,0.01297,0.00379,3.27268,2.71816,0.00434,0.000144833,0.000144833,0.000144833
11,212.592,3.26222,2.8217,0.00385,0.16943,0.03269,0.01352,0.00401,3.27755,2.6384,0.00426,0.000143259,0.000143259,0.000143259
12,229.991,3.22917,2.77775,0.00382,0.17673,0.0356,0.01465,0.00428,3.27369,2.62669,0.00417,0.000141685,0.000141685,0.000141685
13,247.6,3.18881,2.74154,0.00384,0.22313,0.03728,0.01515,0.00448,3.23347,2.58228,0.00418,0.000140111,0.000140111,0.000140111
14,265.486,3.20703,2.68056,0.00372,0.24376,0.03978,0.01613,0.00471,3.24136,2.58529,0.00414,0.000138537,0.000138537,0.000138537
15,283.042,3.18286,2.69083,0.0037,0.24452,0.04076,0.01623,0.00482,3.22062,2.56911,0.00411,0.000136963,0.000136963,0.000136963
16,300.658,3.16574,2.6389,0.00367,0.26762,0.03797,0.01696,0.00514,3.22656,2.57208,0.00405,0.000135388,0.000135388,0.000135388
17,318.219,3.17494,2.61361,0.0036,0.26524,0.03907,0.01705,0.00512,3.2143,2.54767,0.00409,0.000133814,0.000133814,0.000133814
18,335.729,3.1726,2.62419,0.00362,0.26453,0.03879,0.01751,0.00529,3.20506,2.53041,0.00405,0.00013224,0.00013224,0.00013224
19,353.183,3.16897,2.6253,0.00365,0.25072,0.04207,0.01761,0.00531,3.1873,2.51987,0.00404,0.000130666,0.000130666,0.000130666
20,370.853,3.13975,2.59209,0.00361,0.31305,0.03986,0.01812,0.00548,3.18034,2.52737,0.00399,0.000129092,0.000129092,0.000129092
21,388.493,3.153,2.57134,0.00355,0.31875,0.04169,0.01787,0.00552,3.17903,2.51791,0.004,0.000127518,0.000127518,0.000127518
22,405.72,3.12814,2.57175,0.00355,0.33971,0.04034,0.01847,0.00577,3.18248,2.50661,0.00397,0.000125944,0.000125944,0.000125944
23,423.128,3.12843,2.55387,0.00354,0.29087,0.04092,0.01853,0.00574,3.1712,2.51854,0.00406,0.00012437,0.00012437,0.00012437
24,440.886,3.12206,2.55627,0.00359,0.26772,0.04231,0.01859,0.00584,3.16781,2.51303,0.00397,0.000122796,0.000122796,0.000122796
25,459.13,3.10928,2.54483,0.00353,0.27073,0.04335,0.01897,0.00589,3.15929,2.48142,0.00403,0.000121222,0.000121222,0.000121222
26,477.025,3.11672,2.51262,0.00351,0.26951,0.0438,0.01967,0.00611,3.1642,2.50532,0.00397,0.000119647,0.000119647,0.000119647
27,495.773,3.09635,2.50639,0.00344,0.27269,0.04344,0.01929,0.00611,3.15512,2.5056,0.00401,0.000118073,0.000118073,0.000118073
28,513.771,3.11348,2.50502,0.00346,0.24624,0.04551,0.0192,0.00607,3.14513,2.48784,0.004,0.000116499,0.000116499,0.000116499
29,531.399,3.10723,2.50256,0.00346,0.27016,0.04419,0.01927,0.00607,3.15123,2.47533,0.00402,0.000114925,0.000114925,0.000114925
30,548.939,3.10349,2.4944,0.00343,0.27528,0.0444,0.01894,0.00595,3.14319,2.46097,0.00391,0.000113351,0.000113351,0.000113351
31,566.511,3.08618,2.47694,0.00346,0.29079,0.04891,0.02019,0.00631,3.14197,2.48219,0.00393,0.000111777,0.000111777,0.000111777
32,584.149,3.09229,2.46524,0.0034,0.26499,0.04523,0.01966,0.00616,3.13696,2.45479,0.00393,0.000110203,0.000110203,0.000110203
33,601.64,3.08378,2.48512,0.00346,0.30382,0.04475,0.02067,0.0066,3.12913,2.45557,0.0039,0.000108629,0.000108629,0.000108629
34,619.5,3.08093,2.46498,0.0034,0.27659,0.04994,0.0203,0.00646,3.14251,2.48264,0.00389,0.000107055,0.000107055,0.000107055
35,636.948,3.08818,2.4635,0.00339,0.28571,0.0464,0.02038,0.00641,3.14207,2.46299,0.00386,0.000105481,0.000105481,0.000105481
36,654.415,3.07456,2.47839,0.00346,0.27861,0.05007,0.01977,0.00631,3.13179,2.46841,0.00387,0.000103906,0.000103906,0.000103906
37,671.904,3.05471,2.46392,0.00344,0.28101,0.04888,0.02078,0.00658,3.1196,2.45961,0.00389,0.000102332,0.000102332,0.000102332
38,689.479,3.05754,2.43312,0.00338,0.28198,0.04801,0.01989,0.0062,3.12798,2.45596,0.00383,0.000100758,0.000100758,0.000100758
39,707.256,3.05685,2.44004,0.00337,0.26469,0.04604,0.0204,0.00681,3.12245,2.45202,0.0039,9.91842e-05,9.91842e-05,9.91842e-05
40,725.023,3.06123,2.43321,0.00335,0.28209,0.04724,0.02,0.00635,3.12817,2.45204,0.00387,9.76101e-05,9.76101e-05,9.76101e-05
41,742.789,3.04896,2.43635,0.00333,0.27426,0.04911,0.02056,0.00663,3.11832,2.45938,0.00385,9.6036e-05,9.6036e-05,9.6036e-05
42,760.686,3.04644,2.43026,0.00336,0.27972,0.05284,0.02014,0.00661,3.10006,2.44563,0.00385,9.44619e-05,9.44619e-05,9.44619e-05
43,778.633,3.04332,2.43362,0.00337,0.2533,0.05256,0.0204,0.00638,3.10828,2.45084,0.00383,9.28878e-05,9.28878e-05,9.28878e-05
44,798.554,3.041,2.41602,0.00331,0.25291,0.05139,0.02091,0.00674,3.10171,2.4417,0.00382,9.13137e-05,9.13137e-05,9.13137e-05
45,818.81,3.03783,2.3969,0.00331,0.23095,0.05324,0.02137,0.00681,3.1115,2.44722,0.00388,8.97396e-05,8.97396e-05,8.97396e-05
