epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2335,3.56015,3.98758,0.00616,0.37601,0.05745,0.01632,0.00425,3.38285,2.82399,0.00476,0.000330383,0.000330383,0.000330383
2,53.666,3.3698,2.59179,0.00421,0.43484,0.08603,0.03961,0.01108,3.28128,2.31015,0.00422,0.000657146,0.000657146,0.000657146
3,73.7197,3.24894,2.31455,0.00391,0.17698,0.0926,0.04759,0.01332,3.25971,2.16114,0.00407,0.000977309,0.000977309,0.000977309
4,92.6772,3.19831,2.21723,0.00373,0.30228,0.10799,0.0607,0.01845,3.15021,2.10063,0.00403,0.0009703,0.0009703,0.0009703
5,111.839,3.16981,2.18082,0.00365,0.32831,0.10491,0.05622,0.01717,3.15001,2.12776,0.00381,0.0009604,0.0009604,0.0009604
6,130.326,3.12994,2.13762,0.00354,0.3361,0.11297,0.06532,0.01981,3.10985,2.09138,0.00378,0.0009505,0.0009505,0.0009505
7,149.283,3.11038,2.09512,0.00347,0.30021,0.10847,0.0568,0.01653,3.16341,2.19148,0.00376,0.0009406,0.0009406,0.0009406
8,167.845,3.08873,2.08202,0.00342,0.3063,0.12055,0.06975,0.0217,3.07384,2.14893,0.00368,0.0009307,0.0009307,0.0009307
9,186.488,3.07429,2.07995,0.00337,0.32527,0.12151,0.0762,0.02409,3.06202,2.02416,0.00371,0.0009208,0.0009208,0.0009208
10,204.911,3.04059,2.05696,0.00337,0.47189,0.12338,0.06971,0.02118,3.08707,2.13916,0.00366,0.0009109,0.0009109,0.0009109
11,223.867,3.03827,2.06359,0.0034,0.30506,0.12382,0.07406,0.02333,3.03783,2.07998,0.00371,0.000901,0.000901,0.000901
12,242.582,3.02422,2.04078,0.00334,0.14739,0.12726,0.07478,0.02297,3.05547,2.03494,0.00363,0.0008911,0.0008911,0.0008911
13,261.298,3.0017,2.02513,0.00332,0.31707,0.12404,0.08107,0.02597,3.01484,2.01434,0.00359,0.0008812,0.0008812,0.0008812
14,279.988,2.99691,2.01127,0.00326,0.158,0.13308,0.08506,0.02708,2.96758,1.98634,0.00364,0.0008713,0.0008713,0.0008713
15,298.539,2.98837,2.01428,0.00325,0.17954,0.13634,0.07998,0.0255,3.00619,2.00871,0.00353,0.0008614,0.0008614,0.0008614
16,317.32,2.98759,2.00672,0.00327,0.49232,0.12828,0.07071,0.02208,3.02794,2.05045,0.00354,0.0008515,0.0008515,0.0008515
17,335.976,2.97909,2.00506,0.00324,0.34317,0.13106,0.08279,0.02661,2.99514,1.98894,0.00361,0.0008416,0.0008416,0.0008416
18,354.572,2.96095,1.99319,0.00324,0.16019,0.13859,0.08269,0.02595,2.97293,1.98423,0.00356,0.0008317,0.0008317,0.0008317
19,373.32,2.96801,1.98768,0.00324,0.15596,0.13091,0.08043,0.02526,2.99173,2.00346,0.00352,0.0008218,0.0008218,0.0008218
20,392.055,2.93288,1.96539,0.00317,0.31961,0.14368,0.08478,0.02708,2.95481,1.96919,0.00355,0.0008119,0.0008119,0.0008119
21,410.607,2.94012,1.97864,0.00318,0.14863,0.14185,0.0815,0.02553,2.98351,2.00779,0.00349,0.000802,0.000802,0.000802
