epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1872,2.65842,5.99652,0.01229,0.68266,0.01612,0.0074,0.00219,2.65391,5.62654,0.01448,0.000235133,0.000235133,0.000235133
2,53.8249,2.38323,3.79782,0.01064,0.61931,0.04837,0.0263,0.00897,2.59268,3.96397,0.01412,0.000467278,0.000467278,0.000467278
3,76.2625,2.45087,3.46667,0.0105,0.73614,0.04362,0.02266,0.00742,2.58316,4.07951,0.01428,0.000693532,0.000693532,0.000693532
4,96.5639,2.40553,3.39228,0.01066,0.49354,0.07438,0.03911,0.01261,2.52656,4.21522,0.01356,0.000687493,0.000687493,0.000687493
5,116.482,2.38411,3.24905,0.01049,0.50271,0.04874,0.03486,0.01054,2.50927,3.57348,0.01351,0.000678657,0.000678657,0.000678657
6,136.012,2.33535,3.13544,0.01,0.42315,0.08622,0.04626,0.01452,2.47017,3.40741,0.01297,0.000669821,0.000669821,0.000669821
7,155.274,2.30477,3.03995,0.00997,0.38925,0.06236,0.03876,0.01148,2.44969,3.52372,0.01313,0.000660986,0.000660986,0.000660986
8,174.849,2.31888,3.03929,0.00991,0.30128,0.08726,0.04578,0.01571,2.44391,3.50314,0.01307,0.00065215,0.00065215,0.00065215
9,194.361,2.30164,2.99719,0.01006,0.34305,0.08485,0.04191,0.01271,2.49829,3.48665,0.01324,0.000643314,0.000643314,0.000643314
10,214.738,2.26429,2.95325,0.01001,0.33857,0.07729,0.05018,0.01649,2.43215,3.3924,0.01297,0.000634478,0.000634478,0.000634478
11,233.882,2.26861,2.943,0.00975,0.27575,0.11074,0.05965,0.01734,2.48835,3.26267,0.01325,0.000625642,0.000625642,0.000625642
12,253.871,2.24701,2.8836,0.00974,0.37941,0.0937,0.05716,0.0193,2.38022,3.41059,0.01273,0.000616807,0.000616807,0.000616807
13,274.151,2.23619,2.87679,0.00959,0.25844,0.1127,0.05585,0.01747,2.49455,3.79862,0.01332,0.000607971,0.000607971,0.000607971
14,293.76,2.24744,2.79207,0.00959,0.22583,0.10145,0.06903,0.0218,2.44715,3.29374,0.01318,0.000599135,0.000599135,0.000599135
15,313.478,2.214,2.8174,0.00956,0.21459,0.0855,0.05516,0.01828,2.47597,3.72941,0.01325,0.0005903,0.0005903,0.0005903
16,332.998,2.22925,2.76817,0.00935,0.07206,0.11691,0.05509,0.01778,2.41523,3.3517,0.01285,0.000581464,0.000581464,0.000581464
17,352.355,2.22737,2.77283,0.00931,0.33994,0.0924,0.05635,0.01773,2.49766,3.48985,0.01338,0.000572628,0.000572628,0.000572628
18,372.417,2.18492,2.65213,0.00926,0.1647,0.11475,0.06631,0.02035,2.43271,3.33211,0.01273,0.000563792,0.000563792,0.000563792
19,392.449,2.19227,2.682,0.00919,0.24369,0.12423,0.07752,0.02551,2.44967,3.2856,0.01287,0.000554956,0.000554956,0.000554956
20,411.885,2.19219,2.64203,0.00939,0.2268,0.08898,0.05823,0.01804,2.43509,3.38825,0.01293,0.000546121,0.000546121,0.000546121
21,431.371,2.15996,2.62299,0.00932,0.11594,0.09672,0.05873,0.01861,2.39012,3.35061,0.01264,0.000537285,0.000537285,0.000537285
22,451.191,2.14148,2.52144,0.00915,0.13283,0.14091,0.07554,0.02533,2.44312,3.37313,0.0131,0.000528449,0.000528449,0.000528449
23,470.354,2.14788,2.56015,0.00914,0.21843,0.09647,0.0592,0.01949,2.44585,3.39603,0.01304,0.000519613,0.000519613,0.000519613
24,489.646,2.15993,2.50761,0.00896,0.12588,0.13152,0.0546,0.01771,2.46169,3.68974,0.01315,0.000510778,0.000510778,0.000510778
25,508.801,2.13101,2.46399,0.00888,0.1727,0.10915,0.0619,0.01974,2.51344,3.45451,0.01327,0.000501942,0.000501942,0.000501942
26,528.46,2.09125,2.43725,0.0089,0.12988,0.11525,0.06564,0.02158,2.4535,3.37962,0.01297,0.000493106,0.000493106,0.000493106
27,548.199,2.13606,2.3881,0.00866,0.15447,0.13516,0.06889,0.02116,2.49419,3.4066,0.01348,0.000484271,0.000484271,0.000484271
28,567.79,2.09137,2.36357,0.00891,0.12811,0.09473,0.05625,0.01966,2.48589,3.45305,0.01303,0.000475435,0.000475435,0.000475435
29,586.732,2.09745,2.34858,0.00888,0.11565,0.08942,0.05477,0.01942,2.47697,3.43246,0.01317,0.000466599,0.000466599,0.000466599
30,606.394,2.08442,2.31368,0.00883,0.14495,0.10565,0.05274,0.01719,2.53968,3.77578,0.01344,0.000457763,0.000457763,0.000457763
31,626.535,2.11694,2.34179,0.00865,0.13607,0.12053,0.05604,0.01939,2.48708,3.48727,0.01321,0.000448928,0.000448928,0.000448928
32,645.948,2.05878,2.2615,0.00868,0.14798,0.1296,0.06523,0.02113,2.52743,3.55063,0.01329,0.000440092,0.000440092,0.000440092
33,665.558,2.05312,2.26337,0.0086,0.11706,0.11435,0.0593,0.01891,2.50292,3.45921,0.01318,0.000431256,0.000431256,0.000431256
34,684.724,2.03872,2.23055,0.00854,0.11489,0.12809,0.05902,0.01854,2.54562,3.65859,0.01348,0.00042242,0.00042242,0.00042242
35,704.571,2.03872,2.17318,0.00834,0.11965,0.12289,0.06374,0.01917,2.48775,3.42002,0.01333,0.000413584,0.000413584,0.000413584
36,724.064,2.0442,2.13303,0.00821,0.10781,0.12222,0.05602,0.01879,2.49355,3.5399,0.01338,0.000404749,0.000404749,0.000404749
37,743.585,2.0099,2.11692,0.00844,0.14101,0.11608,0.05954,0.01926,2.53547,3.4559,0.01339,0.000395913,0.000395913,0.000395913
38,762.967,2.01433,2.08922,0.00815,0.16003,0.12586,0.06994,0.02293,2.55036,3.46204,0.01358,0.000387077,0.000387077,0.000387077
39,782.418,1.99228,2.0351,0.00815,0.10735,0.12103,0.05633,0.01984,2.51345,3.55407,0.0132,0.000378242,0.000378242,0.000378242
40,801.707,2.001,2.03657,0.00799,0.12487,0.10138,0.05256,0.01761,2.57614,3.60633,0.01379,0.000369406,0.000369406,0.000369406
41,821.046,1.9645,1.98865,0.00802,0.14726,0.13025,0.0699,0.02177,2.57511,3.51374,0.01362,0.00036057,0.00036057,0.00036057
42,841.285,1.97415,1.96224,0.00805,0.14418,0.1185,0.05867,0.01999,2.56145,3.58406,0.01354,0.000351734,0.000351734,0.000351734
43,860.628,1.95387,1.89306,0.00778,0.11784,0.10694,0.0509,0.01737,2.56235,3.57466,0.01364,0.000342899,0.000342899,0.000342899
44,879.766,1.93142,1.88529,0.00791,0.16453,0.11654,0.06658,0.01996,2.5691,3.55768,0.01367,0.000334063,0.000334063,0.000334063
45,899.07,1.91965,1.83714,0.00776,0.1371,0.11643,0.06306,0.02077,2.58807,3.59322,0.01383,0.000325227,0.000325227,0.000325227
46,917.972,1.91383,1.85598,0.00774,0.15248,0.09907,0.05276,0.01548,2.60137,3.65684,0.0139,0.000316391,0.000316391,0.000316391
47,937.376,1.92233,1.79623,0.00771,0.13982,0.12253,0.05901,0.01756,2.64855,3.68903,0.0141,0.000307555,0.000307555,0.000307555
48,956.544,1.89568,1.77094,0.00774,0.14339,0.12486,0.06524,0.0183,2.62596,3.69387,0.01409,0.00029872,0.00029872,0.00029872
49,976.152,1.89717,1.76166,0.00761,0.15369,0.09701,0.05725,0.01685,2.67883,3.74528,0.01451,0.000289884,0.000289884,0.000289884
50,995.795,1.88617,1.73399,0.00739,0.13541,0.12301,0.06059,0.0174,2.61023,3.62995,0.01392,0.000281048,0.000281048,0.000281048
51,1015.52,1.83315,1.63777,0.00743,0.12985,0.10823,0.04806,0.01398,2.70404,3.83899,0.01467,0.000272212,0.000272212,0.000272212
52,1034.55,1.8572,1.6508,0.0075,0.18907,0.11481,0.06194,0.01842,2.66396,3.80062,0.01433,0.000263377,0.000263377,0.000263377
53,1053.76,1.8349,1.58714,0.00717,0.11873,0.10476,0.04555,0.01503,2.65328,3.83354,0.01435,0.000254541,0.000254541,0.000254541
54,1072.96,1.82693,1.57428,0.00718,0.12544,0.11231,0.05088,0.01612,2.68732,3.76611,0.01432,0.000245705,0.000245705,0.000245705
55,1092.32,1.78665,1.52369,0.007,0.1268,0.09632,0.05308,0.01872,2.63693,3.84263,0.01405,0.000236869,0.000236869,0.000236869
56,1111.67,1.78891,1.5105,0.00694,0.16479,0.08656,0.05188,0.01487,2.68189,3.92195,0.01422,0.000228034,0.000228034,0.000228034
57,1130.93,1.77406,1.48541,0.00697,0.12132,0.09947,0.05138,0.01723,2.64742,3.79006,0.01432,0.000219198,0.000219198,0.000219198
58,1150.24,1.75597,1.45248,0.00692,0.14206,0.12003,0.05754,0.01714,2.67648,3.83291,0.0144,0.000210362,0.000210362,0.000210362
59,1169.25,1.76449,1.4606,0.0069,0.14003,0.10613,0.05389,0.0169,2.71813,3.8814,0.01467,0.000201527,0.000201527,0.000201527
60,1188.48,1.74243,1.45255,0.00674,0.16444,0.10184,0.04864,0.01409,2.70842,3.92771,0.0145,0.000192691,0.000192691,0.000192691
61,1208.14,1.7115,1.40354,0.00663,0.15729,0.12081,0.05363,0.01672,2.70439,3.79568,0.01445,0.000183855,0.000183855,0.000183855
62,1227.48,1.70051,1.36642,0.00663,0.13361,0.08968,0.04777,0.01621,2.72645,3.96554,0.01459,0.000175019,0.000175019,0.000175019
63,1246.4,1.70291,1.34488,0.00642,0.18902,0.0931,0.05145,0.01478,2.73089,4.01204,0.01461,0.000166183,0.000166183,0.000166183
64,1265.97,1.70208,1.31899,0.00653,0.1489,0.09632,0.04893,0.01536,2.74865,4.01272,0.01484,0.000157348,0.000157348,0.000157348
65,1285.21,1.70435,1.30963,0.00625,0.1628,0.10776,0.05465,0.01715,2.71679,3.97299,0.01459,0.000148512,0.000148512,0.000148512
66,1304.35,1.66717,1.27208,0.00642,0.13349,0.10544,0.05555,0.01674,2.7651,3.96145,0.01495,0.000139676,0.000139676,0.000139676
67,1323.62,1.65304,1.27918,0.00629,0.14577,0.09514,0.05122,0.01462,2.77341,4.07058,0.01506,0.000130841,0.000130841,0.000130841
68,1342.81,1.63153,1.24757,0.00624,0.13308,0.10607,0.04949,0.01523,2.75168,4.01398,0.01483,0.000122005,0.000122005,0.000122005
69,1362.05,1.61837,1.20921,0.00607,0.14394,0.105,0.05346,0.01576,2.76113,4.01605,0.01486,0.000113169,0.000113169,0.000113169
70,1382.07,1.57546,1.17076,0.0061,0.15541,0.10178,0.04992,0.0139,2.78034,4.06552,0.01496,0.000104333,0.000104333,0.000104333
71,1410.33,1.58916,1.14322,0.007,0.14012,0.10097,0.04864,0.0147,2.77608,4.00181,0.01496,9.54975e-05,9.54975e-05,9.54975e-05
72,1428.91,1.5118,1.05622,0.00677,0.1393,0.10305,0.04707,0.01408,2.82998,4.10896,0.0153,8.66618e-05,8.66618e-05,8.66618e-05
73,1448,1.51988,1.02967,0.0066,0.11885,0.09308,0.04455,0.01398,2.80935,4.10577,0.01526,7.7826e-05,7.7826e-05,7.7826e-05
74,1467.06,1.49013,0.99878,0.00641,0.12776,0.10121,0.04891,0.0141,2.82547,4.14148,0.01516,6.89903e-05,6.89903e-05,6.89903e-05
75,1485.3,1.47618,0.98821,0.00635,0.14277,0.10105,0.04703,0.01457,2.80785,4.12772,0.01517,6.01545e-05,6.01545e-05,6.01545e-05
76,1504.4,1.46478,0.98977,0.0064,0.15413,0.08632,0.04697,0.01418,2.82873,4.18319,0.01514,5.13187e-05,5.13187e-05,5.13187e-05
77,1522.81,1.44923,0.96205,0.00628,0.12044,0.08661,0.04551,0.01423,2.80838,4.17818,0.01509,4.2483e-05,4.2483e-05,4.2483e-05
78,1541.8,1.4451,0.95687,0.00631,0.13078,0.09425,0.0459,0.01429,2.80961,4.2508,0.01509,3.36472e-05,3.36472e-05,3.36472e-05
79,1560.55,1.43156,0.92931,0.00618,0.13097,0.08959,0.04374,0.01354,2.81905,4.24001,0.01519,2.48115e-05,2.48115e-05,2.48115e-05
80,1579.32,1.43095,0.92171,0.00599,0.14322,0.09105,0.04608,0.01408,2.81705,4.23533,0.01521,1.59757e-05,1.59757e-05,1.59757e-05
