epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1102.4,2.31538,3.58058,0.01303,0.19646,0.15088,0.08452,0.02762,2.07307,3.29012,0.0129,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252
2,1897.53,2.16285,3.01145,0.01164,0.20625,0.1693,0.10009,0.03454,2.00635,2.99839,0.01234,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568
3,2617.38,2.20672,3.02558,0.01176,0.20493,0.18344,0.10611,0.03577,2.01001,2.94233,0.01239,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825
4,3348.44,2.22034,2.99073,0.01189,0.22496,0.20496,0.12392,0.04205,2.00957,2.83088,0.01239,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,4023.32,2.20398,2.89004,0.01175,0.23777,0.22875,0.14226,0.04849,2.00007,2.78002,0.01224,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4742.6,2.18313,2.83173,0.01159,0.23951,0.23546,0.14337,0.04936,1.97235,2.75635,0.01204,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,5437.47,2.17683,2.79149,0.0115,0.26426,0.24427,0.15323,0.0528,1.97013,2.68579,0.01202,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,6116.65,2.16114,2.74504,0.01141,0.2643,0.24474,0.15879,0.05517,1.96098,2.68704,0.01197,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,6779.29,2.14928,2.7291,0.01133,0.26747,0.24643,0.16281,0.05728,1.94779,2.66475,0.01185,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,7522.29,2.14625,2.70102,0.01123,0.26245,0.2552,0.16797,0.05905,1.9447,2.65277,0.0118,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,8187,2.13311,2.69183,0.01125,0.26628,0.25977,0.16944,0.05967,1.93663,2.65183,0.01173,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
12,8911.75,2.13754,2.65922,0.01118,0.28414,0.25941,0.1713,0.06063,1.94086,2.62788,0.01179,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
13,9664.04,2.1271,2.64198,0.01108,0.26684,0.26604,0.17618,0.06237,1.93234,2.62051,0.01172,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
14,10345.4,2.11747,2.63433,0.01105,0.28358,0.26956,0.17756,0.06294,1.92594,2.62146,0.01167,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
15,11007.3,2.10862,2.60874,0.01101,0.28975,0.26862,0.17836,0.06339,1.91876,2.62045,0.01163,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
16,11672.7,2.10422,2.60388,0.01099,0.28775,0.27264,0.17954,0.06408,1.91905,2.61631,0.01162,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
17,12335.7,2.09846,2.57813,0.01089,0.28813,0.27017,0.17912,0.06414,1.91728,2.61421,0.0116,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
18,13080.4,2.0893,2.56427,0.01091,0.28554,0.27066,0.17954,0.06429,1.91514,2.61264,0.01159,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
19,13819.8,2.08005,2.54389,0.01084,0.28466,0.27131,0.18043,0.06472,1.91473,2.60951,0.01157,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
20,14487.3,2.07481,2.53054,0.01071,0.28201,0.27096,0.18153,0.06514,1.9145,2.60649,0.01157,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
21,15150.3,2.06879,2.52017,0.01074,0.28795,0.27207,0.18164,0.06531,1.91327,2.60487,0.01155,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,15878.8,2.05884,2.49938,0.01062,0.28867,0.27254,0.1821,0.06552,1.91267,2.60252,0.01154,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
23,16572.3,2.05393,2.49758,0.01068,0.29314,0.2729,0.18266,0.06545,1.9125,2.59913,0.01154,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
24,17233.9,2.04378,2.46791,0.01054,0.2971,0.27098,0.18321,0.06563,1.91147,2.59773,0.01153,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
25,17897.4,2.04195,2.44006,0.01048,0.29672,0.27119,0.1838,0.06585,1.91147,2.59525,0.01153,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
26,18559.3,2.02883,2.42939,0.01046,0.29742,0.2718,0.18472,0.06633,1.91169,2.59371,0.01154,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
27,19252.1,2.02091,2.40705,0.01045,0.29862,0.2726,0.18496,0.06629,1.9115,2.59187,0.01154,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
28,19925.4,2.01265,2.39462,0.01033,0.30022,0.27089,0.18503,0.06643,1.91121,2.59053,0.01153,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
29,20590.2,2.005,2.36545,0.01026,0.30062,0.27176,0.18557,0.06661,1.90998,2.5906,0.01152,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
30,21261.1,1.99984,2.34621,0.01019,0.29892,0.2717,0.1858,0.06671,1.90966,2.59012,0.01151,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,21969.6,1.95336,2.36003,0.01156,0.29803,0.27076,0.18591,0.06677,1.9086,2.59034,0.0115,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,22633.3,1.94607,2.3301,0.01146,0.29636,0.27021,0.18615,0.06687,1.90709,2.59191,0.01148,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,23339.4,1.93744,2.3074,0.01144,0.29846,0.27059,0.18631,0.06702,1.90741,2.59224,0.0115,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
