epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,721.364,2.34699,3.55263,0.01306,0.28196,0.16103,0.10163,0.03368,2.01128,3.11711,0.01239,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225
2,1378.09,2.19372,3.01332,0.01158,0.20869,0.17627,0.09791,0.03162,2.06531,3.23585,0.01275,0.0199891,0.00666304,0.0199891,0.00666304,0.0199891,0.00666304,0.0199891,0.00666304
3,2015.77,2.22412,3.02252,0.01176,0.19886,0.18802,0.10446,0.03438,2.07269,2.99985,0.01271,0.029951,0.00998366,0.029951,0.00998366,0.029951,0.00998366,0.029951,0.00998366
4,2647.15,2.24,2.98933,0.01187,0.22385,0.20005,0.1169,0.03914,2.01971,2.89357,0.01239,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,3298.77,2.20905,2.90445,0.0116,0.22202,0.2217,0.12774,0.04289,2.00668,2.8931,0.0123,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,3929.75,2.19092,2.84248,0.01148,0.23101,0.22934,0.14016,0.04835,1.98152,2.77482,0.01204,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,4560.19,2.18077,2.80535,0.01139,0.23621,0.23504,0.14401,0.04851,1.98051,2.75435,0.01205,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,5189.86,2.17358,2.78465,0.01136,0.23569,0.23718,0.14834,0.05116,1.96828,2.7404,0.01196,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,5818.02,2.16181,2.76388,0.01127,0.26348,0.24184,0.15329,0.05271,1.95888,2.71164,0.01189,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,6448.43,2.15578,2.73818,0.01121,0.26899,0.24805,0.15677,0.05451,1.95955,2.71623,0.01187,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,7078.11,2.15177,2.71624,0.01119,0.27005,0.24786,0.15838,0.05599,1.94739,2.70158,0.01177,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
