epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,719.809,2.3071,7.76298,0.0099,0.37715,0.03666,0.02578,0.0086,2.0356,6.99911,0.00978,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226,0.00999677,0.00333226
2,1382.01,2.16349,6.40439,0.00889,0.41164,0.05088,0.0266,0.00896,2.00743,6.57031,0.00964,0.0199891,0.00666305,0.0199891,0.00666305,0.0199891,0.00666305,0.0199891,0.00666305
3,2022.18,2.19877,6.44265,0.00906,0.34168,0.05723,0.02543,0.00817,2.05567,6.91185,0.00988,0.029951,0.00998366,0.029951,0.00998366,0.029951,0.00998366,0.029951,0.00998366
4,2656.59,2.21224,6.36669,0.00913,0.40544,0.05901,0.03351,0.0112,2.01816,6.05527,0.00965,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,3280.26,2.19026,6.17398,0.009,0.46184,0.0787,0.04324,0.01428,2.00282,5.90695,0.00955,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,3901.18,2.17414,6.04639,0.00891,0.46052,0.08604,0.04543,0.01529,1.9806,5.87312,0.0094,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,4522.48,2.16478,5.93148,0.00878,0.43783,0.08359,0.04728,0.0164,1.96927,5.80164,0.00931,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,5141.15,2.1543,5.88595,0.00879,0.49526,0.08658,0.05258,0.01774,1.95403,5.7457,0.00928,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,5762.66,2.14293,5.82623,0.00871,0.48106,0.09202,0.05298,0.0187,1.9517,5.71083,0.00922,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,6386.32,2.14315,5.76622,0.00869,0.5309,0.09542,0.0567,0.01981,1.94883,5.6576,0.00923,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,7005.44,2.1365,5.75399,0.00867,0.4899,0.09436,0.05336,0.01867,1.94623,5.64619,0.0092,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,7651.32,2.12546,5.725,0.00865,0.49275,0.09704,0.05378,0.01913,1.93913,5.62909,0.00918,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,8406.85,2.12336,5.67014,0.00857,0.49339,0.09835,0.05569,0.01949,1.93336,5.61265,0.00916,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,9025.94,2.12076,5.63703,0.00855,0.47621,0.09935,0.05688,0.02008,1.93044,5.60507,0.00913,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,9649.02,2.11716,5.62124,0.00853,0.47938,0.0988,0.05883,0.02058,1.92676,5.6036,0.00911,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,10271.6,2.1144,5.56314,0.00853,0.50316,0.09693,0.05852,0.02057,1.9248,5.59757,0.00909,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
17,10891.5,2.11595,5.57864,0.00854,0.50278,0.09606,0.0596,0.02068,1.92532,5.5881,0.00908,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
18,11513.1,2.1043,5.56992,0.00849,0.50463,0.10009,0.05953,0.02069,1.92163,5.58568,0.00906,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732,0.026812,0.00893732
