epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8439,3.66906,5.02559,0.00821,0.00572,0.01985,0.00354,0.00098,3.32805,3.72593,0.00487,5.2531e-05,5.2531e-05,5.2531e-05
2,70.8915,3.29399,3.05754,0.00493,0.17854,0.03048,0.01346,0.00402,3.19774,2.74342,0.00463,0.000104225,0.000104225,0.000104225
3,101.199,3.21341,2.72943,0.00446,0.23282,0.03774,0.016,0.00488,3.16692,2.6311,0.0043,0.000154607,0.000154607,0.000154607
4,131.26,3.18048,2.5904,0.00426,0.28925,0.04016,0.01773,0.00536,3.10121,2.53041,0.00427,0.000153097,0.000153097,0.000153097
5,161.634,3.1279,2.51106,0.00407,0.22646,0.04362,0.02095,0.00628,3.07403,2.46627,0.00418,0.000151129,0.000151129,0.000151129
6,192.879,3.10248,2.49767,0.004,0.22599,0.05122,0.02231,0.00701,3.07283,2.44188,0.00427,0.000149162,0.000149162,0.000149162
7,223.216,3.06616,2.48184,0.00397,0.04405,0.06931,0.02108,0.00668,3.07882,2.46202,0.00408,0.000147194,0.000147194,0.000147194
8,252.836,3.07273,2.41887,0.00392,0.16402,0.05916,0.02442,0.00749,3.05069,2.39892,0.00414,0.000145227,0.000145227,0.000145227
9,283.407,3.04513,2.41267,0.00391,0.22474,0.06858,0.02626,0.00845,3.03469,2.3862,0.00401,0.000143259,0.000143259,0.000143259
10,313.699,3.05193,2.40635,0.00393,0.35188,0.05766,0.02639,0.00847,3.0165,2.39676,0.00408,0.000141291,0.000141291,0.000141291
11,345.153,3.04325,2.37773,0.00385,0.26653,0.07276,0.02822,0.00887,3.04557,2.36387,0.00397,0.000139324,0.000139324,0.000139324
12,375.412,3.01772,2.37459,0.00382,0.28808,0.06167,0.02559,0.00814,3.01988,2.38753,0.00398,0.000137356,0.000137356,0.000137356
13,405.74,3.01496,2.33944,0.00371,0.12267,0.09008,0.02942,0.00932,2.99814,2.42072,0.00395,0.000135388,0.000135388,0.000135388
14,436.528,3.00017,2.35436,0.0038,0.26126,0.07214,0.03022,0.00979,3.0024,2.33834,0.00403,0.000133421,0.000133421,0.000133421
15,466.052,2.98878,2.32334,0.00372,0.19174,0.08609,0.02944,0.0094,2.98222,2.36162,0.00387,0.000131453,0.000131453,0.000131453
16,496.91,3.00005,2.34507,0.00377,0.21427,0.07989,0.03074,0.0097,2.99121,2.36554,0.00393,0.000129486,0.000129486,0.000129486
17,526.52,2.98088,2.30682,0.00371,0.15949,0.09386,0.02995,0.00989,2.99005,2.33572,0.00386,0.000127518,0.000127518,0.000127518
18,556.111,2.97741,2.31741,0.00371,0.24358,0.079,0.03153,0.01047,2.97107,2.33073,0.0039,0.00012555,0.00012555,0.00012555
19,586.452,2.98002,2.29782,0.00375,0.20692,0.07505,0.02727,0.00905,2.98991,2.37785,0.00383,0.000123583,0.000123583,0.000123583
20,616.348,2.97441,2.27007,0.00364,0.23672,0.08238,0.03205,0.01058,2.97488,2.32459,0.00383,0.000121615,0.000121615,0.000121615
21,646.112,2.94852,2.26282,0.00361,0.17616,0.08044,0.03148,0.0103,2.98141,2.32831,0.00386,0.000119647,0.000119647,0.000119647
22,675.863,2.95643,2.26341,0.00364,0.17976,0.07671,0.03292,0.01054,2.98369,2.36643,0.00382,0.00011768,0.00011768,0.00011768
23,705.288,2.94817,2.25366,0.00359,0.15748,0.08865,0.03481,0.01171,2.97018,2.33014,0.00379,0.000115712,0.000115712,0.000115712
24,736.556,2.9443,2.24812,0.0036,0.24685,0.08815,0.03862,0.01228,2.96183,2.3213,0.00393,0.000113745,0.000113745,0.000113745
25,767.08,2.93648,2.24867,0.00363,0.27142,0.08405,0.035,0.01218,2.97344,2.29062,0.00385,0.000111777,0.000111777,0.000111777
26,796.513,2.93783,2.26568,0.00358,0.25716,0.07807,0.03318,0.01084,2.96064,2.33013,0.00388,0.000109809,0.000109809,0.000109809
27,826.497,2.92507,2.2479,0.00364,0.15473,0.09513,0.03303,0.01101,2.95071,2.34794,0.00387,0.000107842,0.000107842,0.000107842
28,855.962,2.9195,2.22505,0.00356,0.14827,0.08921,0.03803,0.01202,2.94977,2.30852,0.00377,0.000105874,0.000105874,0.000105874
29,886.546,2.93445,2.24373,0.0036,0.19715,0.08137,0.03437,0.01044,2.96145,2.31857,0.00378,0.000103906,0.000103906,0.000103906
30,916.321,2.92162,2.21044,0.00353,0.20326,0.08681,0.03632,0.01155,2.95733,2.31776,0.00379,0.000101939,0.000101939,0.000101939
31,946.229,2.91097,2.22083,0.00356,0.21563,0.08389,0.0349,0.01134,2.95338,2.33358,0.00377,9.99712e-05,9.99712e-05,9.99712e-05
32,975.983,2.91824,2.21875,0.00356,0.18447,0.08971,0.03682,0.0117,2.95792,2.31588,0.00388,9.80036e-05,9.80036e-05,9.80036e-05
33,1005.5,2.9024,2.20544,0.00351,0.25339,0.08962,0.04059,0.01333,2.93158,2.30683,0.00377,9.6036e-05,9.6036e-05,9.6036e-05
