epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,795.009,2.35077,4.08139,0.01127,0.40619,0.05239,0.02987,0.01,2.03326,3.30045,0.01101,0.00999687,0.00333229,0.00999687,0.00333229,0.00999687,0.00333229,0.00999687,0.00333229
2,1528.03,2.20032,3.35212,0.01013,0.5028,0.04535,0.02772,0.0094,2.046,3.3943,0.01127,0.0197494,0.00658314,0.0197494,0.00658314,0.0197494,0.00658314,0.0197494,0.00658314
3,2252.8,2.234,3.35884,0.01035,0.50994,0.05126,0.0249,0.00835,2.0738,3.25206,0.01126,0.0292544,0.00975148,0.0292544,0.00975148,0.0292544,0.00975148,0.0292544,0.00975148
4,2971.3,2.24623,3.33263,0.01049,0.50439,0.06526,0.03489,0.01165,2.00692,3.05326,0.0108,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,3690.99,2.21506,3.22565,0.01016,0.49042,0.06602,0.03754,0.01287,1.98391,2.99792,0.01071,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,4412.94,2.19935,3.15869,0.01011,0.50529,0.07584,0.04282,0.01453,1.98376,2.95275,0.01066,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,5152.85,2.19285,3.11633,0.00998,0.53196,0.07636,0.04407,0.01542,1.9624,2.91047,0.01053,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,5902.29,2.18356,3.07701,0.00994,0.48238,0.08203,0.04908,0.01676,1.96221,2.87859,0.01054,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,6633.1,2.1644,3.05699,0.00991,0.4104,0.08514,0.05063,0.0176,1.94675,2.86173,0.01039,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,7361.79,2.15973,3.02651,0.0098,0.48097,0.09219,0.05205,0.01848,1.93883,2.8466,0.01034,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,8089.11,2.15061,3.01004,0.00971,0.52973,0.09449,0.05455,0.01936,1.93193,2.84733,0.01029,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,8818.78,2.14744,2.98639,0.00968,0.49979,0.09392,0.0576,0.02077,1.93936,2.82517,0.01034,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,9547.59,2.1436,2.97711,0.00966,0.45475,0.09484,0.05615,0.02048,1.92453,2.82641,0.01018,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,10282.4,2.13701,2.96586,0.00966,0.45385,0.09526,0.0581,0.0213,1.91912,2.81879,0.01013,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,11010.1,2.13349,2.94507,0.00962,0.4076,0.09497,0.05682,0.02041,1.91721,2.81551,0.01011,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
