epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,764.614,2.26796,7.89341,0.01068,0.33596,0.04453,0.01903,0.00627,2.07431,8.23864,0.01135,0.00999687,0.00333229,0.00999687,0.00333229,0.00999687,0.00333229,0.00999687,0.00333229
2,1426.97,2.13039,6.49409,0.0097,0.45309,0.05055,0.02922,0.00977,2.0212,6.45063,0.01109,0.019992,0.00666399,0.019992,0.00666399,0.019992,0.00666399,0.019992,0.00666399
3,2045.69,2.16202,6.52865,0.00988,0.41985,0.0434,0.02405,0.00825,2.00924,6.46944,0.01075,0.0299676,0.00998919,0.0299676,0.00998919,0.0299676,0.00998919,0.0299676,0.00998919
4,2728.91,2.17982,6.44911,0.01002,0.50358,0.05725,0.03191,0.01075,2.01333,6.17809,0.01096,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,3353.66,2.16273,6.2311,0.00987,0.54213,0.06168,0.03643,0.01307,1.99632,5.99051,0.01077,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,3988.72,2.14635,6.10989,0.00969,0.50451,0.07405,0.04342,0.01475,1.9711,5.96659,0.01058,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,4614.5,2.13779,6.02367,0.00964,0.50462,0.07711,0.04422,0.01563,1.96456,5.8704,0.01053,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,5236.01,2.1269,5.94146,0.00958,0.52306,0.07949,0.0468,0.01623,1.96079,5.81607,0.01052,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,5861.96,2.11617,5.89189,0.00947,0.47246,0.08732,0.04833,0.0165,1.94784,5.80532,0.01038,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,6485.42,2.10658,5.84295,0.00944,0.47936,0.08896,0.05145,0.01788,1.9478,5.76841,0.0104,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,7111.63,2.1033,5.80771,0.00936,0.55719,0.0873,0.05255,0.01809,1.93713,5.75911,0.01027,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,7737.34,2.10489,5.77324,0.00944,0.46347,0.09194,0.0514,0.01792,1.92996,5.72592,0.01026,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,8361.58,2.09228,5.75435,0.00936,0.50239,0.09207,0.05328,0.01885,1.9291,5.69827,0.01025,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,8995.88,2.08818,5.70825,0.00932,0.49265,0.09557,0.0537,0.01899,1.92101,5.70822,0.01021,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,9623.59,2.09121,5.67046,0.00924,0.46959,0.09431,0.05503,0.01962,1.91981,5.69047,0.01017,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,10252.9,2.08565,5.64575,0.00925,0.52312,0.09366,0.05431,0.01961,1.91802,5.69139,0.01015,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,10880.7,2.0825,5.61216,0.00918,0.52697,0.09287,0.05513,0.02,1.9175,5.68468,0.01016,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,11506.7,2.07109,5.61,0.00917,0.55573,0.0915,0.05502,0.01987,1.91343,5.68574,0.01013,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,12135.7,2.07286,5.57762,0.00913,0.52921,0.09401,0.05539,0.02017,1.91141,5.68443,0.01011,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,12746.1,2.07291,5.57499,0.0092,0.52925,0.09503,0.05539,0.02019,1.90972,5.6834,0.01008,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
