epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1160.88,2.29101,3.64854,0.01599,0.21197,0.1587,0.09091,0.03006,1.99868,3.25806,0.01562,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252
2,1998.38,2.13201,3.08143,0.0143,0.22337,0.18764,0.10556,0.03567,1.9697,3.03291,0.01539,0.0199899,0.00666331,0.0199899,0.00666331,0.0199899,0.00666331,0.0199899,0.00666331
3,2767.32,2.17873,3.08199,0.01448,0.21,0.18722,0.10017,0.03355,2.0077,3.06476,0.01561,0.0299518,0.00998393,0.0299518,0.00998393,0.0299518,0.00998393,0.0299518,0.00998393
4,3528.45,2.20047,3.04042,0.01469,0.23577,0.20682,0.12471,0.04259,1.99537,2.88132,0.01544,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569,0.0298971,0.00996569
5,4290.73,2.17122,2.95085,0.01442,0.24785,0.21169,0.12905,0.04444,1.96049,2.86318,0.015,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
6,5054.88,2.15405,2.89139,0.01424,0.23704,0.2228,0.13611,0.04746,1.9487,2.82058,0.01493,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489,0.0297147,0.00990489
7,5834.84,2.13907,2.86253,0.0141,0.25376,0.23166,0.1503,0.05224,1.9401,2.7645,0.01483,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
8,6595.15,2.12984,2.82065,0.01403,0.26065,0.23982,0.15694,0.05522,1.94813,2.73441,0.01496,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415,0.0294425,0.00981415
9,7356.76,2.12529,2.79091,0.014,0.2706,0.23893,0.16113,0.05684,1.93235,2.71955,0.01476,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
10,8117.89,2.11844,2.77334,0.01382,0.26636,0.24141,0.16309,0.05744,1.92814,2.702,0.0147,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405,0.0290821,0.00969405
11,8877.86,2.10697,2.77151,0.01388,0.26831,0.24892,0.1632,0.05758,1.91131,2.71047,0.01457,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
12,9636.44,2.10921,2.74489,0.01378,0.27207,0.25061,0.16438,0.05864,1.913,2.69962,0.0146,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531,0.0286359,0.00954531
13,10392.8,2.10794,2.72736,0.01373,0.26644,0.25007,0.16785,0.0597,1.9049,2.69148,0.01448,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
14,11149.3,2.1,2.72617,0.01372,0.27056,0.25441,0.16973,0.06076,1.90471,2.68489,0.01449,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886,0.0281066,0.00936886
15,11908.3,2.09902,2.70071,0.01371,0.27767,0.25316,0.17087,0.06087,1.89987,2.67927,0.01441,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
16,12664.5,2.09351,2.70319,0.0137,0.28585,0.2531,0.17142,0.06123,1.89897,2.67673,0.01442,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577,0.0274973,0.00916577
17,13424.9,2.09188,2.68758,0.01358,0.2854,0.25534,0.17091,0.06126,1.89552,2.67774,0.01438,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
