epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,763.377,2.35992,3.55716,0.01644,0.14601,0.12148,0.06019,0.02059,2.0624,3.5477,0.01586,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225,0.00999676,0.00333225
2,1446.25,2.20022,3.00823,0.01455,0.39584,0.17647,0.10244,0.03307,2.08269,3.10038,0.01603,0.0199662,0.00665541,0.0199662,0.00665541,0.0199662,0.00665541,0.0199662,0.00665541
3,2103.81,2.22465,3.02412,0.01467,0.20547,0.16999,0.09402,0.03152,2.04778,3.05484,0.01572,0.0298139,0.00993798,0.0298139,0.00993798,0.0298139,0.00993798,0.0298139,0.00993798
4,2756.61,2.23766,2.99406,0.01483,0.21093,0.206,0.12045,0.04011,2.02678,2.92485,0.01554,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,3409.43,2.21761,2.90286,0.01456,0.24856,0.22441,0.12748,0.04249,2.02095,2.92531,0.01546,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4062.31,2.19499,2.83642,0.01439,0.23757,0.22717,0.14064,0.04873,1.97981,2.76903,0.015,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,4714.31,2.18362,2.79898,0.01428,0.24571,0.23835,0.1456,0.04926,1.99203,2.78021,0.01519,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,5364.11,2.1757,2.78151,0.01423,0.2568,0.23509,0.14936,0.05153,1.97196,2.74347,0.01497,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,6014.78,2.16711,2.75182,0.01412,0.27472,0.24253,0.15431,0.05343,1.96365,2.69397,0.01491,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,6663.87,2.15665,2.72218,0.01404,0.26532,0.24771,0.15839,0.05546,1.95609,2.69407,0.01481,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,7312.09,2.15231,2.69767,0.01399,0.27016,0.25227,0.16194,0.05654,1.95552,2.68066,0.0148,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
12,7959.88,2.14713,2.69235,0.01395,0.26978,0.25212,0.16328,0.05738,1.94564,2.67391,0.01472,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
13,8608.64,2.14024,2.66778,0.01382,0.27836,0.26155,0.1665,0.05869,1.93912,2.66974,0.01465,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
14,9260.19,2.13832,2.64852,0.01374,0.28157,0.2641,0.16965,0.05974,1.93535,2.6677,0.01463,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
15,9911.65,2.12512,2.63922,0.01367,0.28492,0.26894,0.17118,0.06004,1.93102,2.6663,0.01456,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
16,10560.8,2.12341,2.61413,0.01358,0.28689,0.2673,0.17258,0.06071,1.92633,2.66159,0.01449,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
17,11215,2.11021,2.61122,0.01358,0.29023,0.26861,0.17375,0.06144,1.92304,2.66152,0.01445,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
18,11867,2.10236,2.59153,0.01357,0.29225,0.2677,0.17472,0.06167,1.92185,2.65777,0.01444,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
19,12517.4,2.09742,2.57196,0.01338,0.29057,0.26761,0.17578,0.06227,1.92093,2.65423,0.01443,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
20,13166.7,2.08633,2.56296,0.01337,0.29054,0.26924,0.17725,0.06283,1.91875,2.65314,0.01441,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
21,13817,2.08479,2.54575,0.01336,0.29066,0.27018,0.17819,0.06315,1.91786,2.65018,0.0144,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,14463.9,2.07814,2.5368,0.01328,0.29515,0.26877,0.17875,0.0634,1.91723,2.64787,0.01439,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
23,15116.1,2.06674,2.51358,0.01317,0.29619,0.26736,0.17915,0.0636,1.91679,2.64572,0.0144,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
24,15763.5,2.05639,2.49631,0.01305,0.29788,0.26854,0.17954,0.06374,1.91551,2.6453,0.01439,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
25,16413.4,2.04918,2.47642,0.013,0.29658,0.27021,0.18009,0.06397,1.91482,2.64332,0.01438,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
26,17064,2.04338,2.46852,0.01303,0.29667,0.26916,0.1804,0.0643,1.91397,2.64163,0.01438,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
27,17712.1,2.03856,2.45314,0.01301,0.29416,0.26913,0.18074,0.06463,1.91366,2.64041,0.01438,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
28,18356.2,2.033,2.4289,0.01295,0.29374,0.26826,0.18093,0.0648,1.91353,2.63831,0.01438,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
29,19002.7,2.02248,2.41049,0.01275,0.29306,0.26943,0.181,0.06466,1.91238,2.63807,0.01437,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
30,19650,2.01263,2.39155,0.0127,0.29426,0.26864,0.18083,0.06466,1.91144,2.63797,0.01436,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,20296,1.9806,2.40271,0.01434,0.29596,0.26806,0.18102,0.06467,1.91073,2.63799,0.01435,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,20931.5,1.96862,2.38443,0.0143,0.2952,0.26887,0.18101,0.06482,1.91052,2.63788,0.01435,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,21567.3,1.96332,2.36208,0.01424,0.29189,0.2689,0.18078,0.06488,1.91042,2.63753,0.01435,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,22202.7,1.94745,2.34828,0.01415,0.29515,0.26688,0.18127,0.06505,1.90921,2.63869,0.01434,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,22838.7,1.94297,2.3309,0.01402,0.29389,0.26551,0.18105,0.06508,1.90917,2.63929,0.01434,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,23473.2,1.9384,2.3137,0.01393,0.29539,0.26501,0.18071,0.06507,1.90835,2.64167,0.01434,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,24111.6,1.93639,2.30939,0.01401,0.29107,0.26585,0.18072,0.06505,1.90847,2.64307,0.01434,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,24745.9,1.9356,2.30449,0.01397,0.29192,0.2657,0.18059,0.06503,1.90895,2.64499,0.01435,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,25384,1.92961,2.29673,0.01398,0.29174,0.26566,0.18052,0.06498,1.90931,2.64668,0.01435,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,26019,1.93211,2.28607,0.01391,0.2901,0.26584,0.18048,0.0649,1.91,2.64821,0.01436,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
