epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,854.618,2.29484,3.58711,0.01283,0.19121,0.16223,0.09103,0.03022,2.04628,3.32015,0.01289,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252
2,1571.88,2.15516,3.0869,0.01159,0.23702,0.18865,0.11484,0.03765,2.02266,3.0294,0.01266,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568
3,2268.57,2.19982,3.07922,0.01173,0.19684,0.16621,0.09328,0.03179,2.07394,3.05765,0.013,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825
4,2960.21,2.21655,3.04346,0.01186,0.23607,0.19941,0.12205,0.04188,1.99424,2.8899,0.01235,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,3650.36,2.18094,2.95436,0.01159,0.20446,0.21377,0.13045,0.04523,1.96909,2.86857,0.01213,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4340.43,2.16308,2.88863,0.01147,0.23822,0.22838,0.13994,0.04838,1.96688,2.78837,0.01213,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,5028.21,2.15612,2.86033,0.01136,0.24272,0.23197,0.14545,0.05073,1.94851,2.76797,0.01193,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,5716.14,2.14476,2.811,0.01129,0.27324,0.23656,0.15238,0.05319,1.95362,2.72466,0.01198,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,6408.31,2.13458,2.7879,0.01126,0.26939,0.23806,0.15791,0.05575,1.93969,2.72323,0.01189,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,7119.75,2.12511,2.76641,0.01111,0.26157,0.23688,0.15831,0.05591,1.93129,2.70209,0.01179,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,7812.49,2.11741,2.75776,0.01115,0.27642,0.24651,0.16084,0.05733,1.91853,2.70919,0.01167,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
12,8502.98,2.1223,2.72456,0.0111,0.27569,0.25173,0.1648,0.05843,1.92373,2.68714,0.01174,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
13,9193.8,2.10935,2.71074,0.01099,0.27712,0.25218,0.16612,0.05882,1.91977,2.67702,0.01174,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
14,9880.47,2.10447,2.69915,0.011,0.27343,0.25771,0.16828,0.05964,1.91717,2.67784,0.01172,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
15,10569.3,2.08913,2.68075,0.01089,0.27639,0.25784,0.169,0.05982,1.90882,2.67838,0.01165,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
