epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1123.73,2.28269,3.75067,0.01449,0.20569,0.16942,0.09949,0.03318,2.05792,3.07757,0.01285,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252
2,1955.38,2.13282,3.12599,0.01318,0.3835,0.16238,0.10319,0.03441,2.03712,2.9902,0.0127,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568
3,2696.32,2.18901,3.13255,0.01355,0.38342,0.17254,0.10152,0.03411,2.06135,2.98134,0.01272,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825
4,3426.38,2.20573,3.08594,0.01356,0.22859,0.19473,0.11862,0.04032,2.01138,2.8748,0.01227,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,4153.63,2.17921,2.97287,0.01334,0.20884,0.20394,0.12887,0.04404,2.00987,2.81354,0.0123,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4895.48,2.16083,2.90142,0.01322,0.24289,0.22623,0.14116,0.04853,2.00763,2.73523,0.01228,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,5636.91,2.15185,2.84822,0.01305,0.25194,0.23066,0.14809,0.05114,2.00951,2.68451,0.01225,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,6371.69,2.14145,2.80838,0.01299,0.26404,0.24065,0.14938,0.05207,1.97632,2.68466,0.01202,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,7109.81,2.13418,2.79136,0.01298,0.30926,0.23601,0.15892,0.05601,1.96991,2.67214,0.01196,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,7849.98,2.1262,2.76985,0.01293,0.27028,0.23731,0.16153,0.05672,1.96524,2.65788,0.01196,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,8588.74,2.11672,2.74058,0.0129,0.28539,0.24589,0.16676,0.05898,1.96763,2.63492,0.01199,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
12,9324.77,2.1063,2.72327,0.0128,0.26935,0.24656,0.16604,0.05913,1.95387,2.63587,0.01186,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
13,10055.9,2.10439,2.70443,0.01275,0.27944,0.24526,0.16815,0.05971,1.94906,2.62603,0.01185,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
14,10791.1,2.10189,2.6711,0.0127,0.27751,0.25094,0.16918,0.06027,1.94652,2.61962,0.01182,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
15,11539.1,2.09542,2.67197,0.01268,0.28014,0.25522,0.17127,0.06101,1.94284,2.61898,0.01177,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
16,12272.8,2.08995,2.65085,0.0126,0.27576,0.26017,0.17264,0.0614,1.94098,2.61668,0.01174,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
17,13000.2,2.0751,2.63387,0.01248,0.26825,0.26508,0.17357,0.06132,1.93903,2.61252,0.01174,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
18,13728.8,2.06824,2.62276,0.01253,0.26775,0.26352,0.17479,0.06162,1.93661,2.61066,0.01172,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
19,14452.7,2.06098,2.60547,0.01239,0.26764,0.26374,0.17563,0.06183,1.9339,2.61029,0.0117,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
20,15190.3,2.04856,2.5863,0.01231,0.2673,0.26437,0.17545,0.06239,1.93129,2.60934,0.01168,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
21,15920.7,2.04875,2.55799,0.01216,0.27172,0.26244,0.17598,0.06232,1.92979,2.60716,0.01166,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
22,16651.6,2.02972,2.55243,0.01217,0.27145,0.2624,0.17597,0.06264,1.92868,2.60569,0.01165,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
23,17384.2,2.0251,2.53061,0.01207,0.27175,0.26546,0.17651,0.06288,1.92706,2.605,0.01163,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
24,18110.1,2.02369,2.50271,0.01205,0.27616,0.26374,0.17705,0.06313,1.92554,2.60427,0.01162,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
25,18835.1,2.0132,2.4767,0.01201,0.27267,0.26409,0.17737,0.06344,1.92486,2.60258,0.01162,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
26,19567.2,2.0063,2.45126,0.01191,0.28007,0.2657,0.17766,0.06364,1.92437,2.60079,0.01162,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
27,20300.4,2.00108,2.4368,0.01193,0.2779,0.26597,0.17753,0.0636,1.92323,2.60069,0.01161,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
28,21027.6,1.99481,2.40278,0.01174,0.28689,0.26703,0.17818,0.06386,1.92267,2.59975,0.01161,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
29,21759.1,1.98041,2.38908,0.01176,0.28714,0.2675,0.17847,0.06404,1.92225,2.59931,0.01161,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
30,22487.3,1.97485,2.36654,0.01167,0.28595,0.26737,0.17895,0.06402,1.922,2.59902,0.01161,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
31,23229.3,1.96357,2.34195,0.01161,0.29205,0.26679,0.17943,0.06417,1.92162,2.59924,0.01162,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
32,23956.2,1.95134,2.32501,0.01148,0.28977,0.26693,0.17953,0.06424,1.92155,2.6003,0.01162,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
33,24688.2,1.947,2.29776,0.0115,0.29004,0.26617,0.18008,0.06437,1.92148,2.60111,0.01162,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
34,25418.2,1.9388,2.28436,0.01148,0.28835,0.26612,0.18002,0.06447,1.92135,2.60318,0.01162,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
35,26151.4,1.93818,2.26483,0.01136,0.28656,0.26703,0.18,0.06459,1.9208,2.60562,0.01161,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
36,26878.5,1.92152,2.25213,0.01133,0.28978,0.26611,0.18026,0.0647,1.92173,2.60721,0.01162,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
37,27611.2,1.92654,2.23882,0.01129,0.28913,0.26638,0.18067,0.06479,1.92223,2.60949,0.01163,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
38,28338.7,1.91766,2.23544,0.01126,0.29162,0.2658,0.18098,0.06484,1.92289,2.6121,0.01164,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
39,29066.2,1.92028,2.21695,0.01125,0.29158,0.26595,0.18128,0.06527,1.9236,2.61489,0.01165,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
40,29801.3,1.91611,2.21608,0.01126,0.29182,0.26511,0.18176,0.06553,1.92471,2.6178,0.01166,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
