epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1039.09,2.28665,3.54174,0.01626,0.16458,0.16065,0.07642,0.02484,2.22851,3.13754,0.01404,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252,0.00999757,0.00333252
2,1819.08,2.07807,2.95973,0.01411,0.18851,0.18095,0.10139,0.03357,2.14474,2.92614,0.01346,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568,0.0199671,0.00665568
3,2582.55,2.11857,2.98449,0.01425,0.19087,0.20982,0.10685,0.03487,2.17716,2.91749,0.01375,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825,0.0298148,0.00993825
4,3337.23,2.1225,2.95466,0.01437,0.23129,0.20386,0.11777,0.03953,2.11634,2.81484,0.01327,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,4090.87,2.09072,2.86556,0.01407,0.24924,0.21926,0.13237,0.045,2.08842,2.82738,0.01314,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,4840.33,2.06949,2.80325,0.01386,0.22611,0.23442,0.1354,0.04563,2.09039,2.77737,0.01306,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,5585.16,2.05951,2.77144,0.01376,0.20254,0.24145,0.14579,0.04928,2.0768,2.72781,0.01293,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,6331.84,2.04862,2.72339,0.0137,0.25484,0.2474,0.15315,0.05134,2.09685,2.71167,0.01311,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,7082.04,2.03628,2.70098,0.01354,0.25042,0.24561,0.15635,0.05362,2.08914,2.66666,0.01306,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,7834.64,2.03622,2.67232,0.01346,0.25269,0.24753,0.1603,0.05487,2.07217,2.64382,0.01287,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
11,8585.16,2.02294,2.66286,0.01349,0.24566,0.25526,0.16146,0.05594,2.06077,2.60402,0.01284,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
